area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",284,62,69,0,0,29,0,0,0,0,0,0,24,78,14,8,0
"Block Group 2, Census Tract 101",939,262,41,131,145,37,0,66,27,0,23,112,8,47,9,31,0
"Block Group 3, Census Tract 101",1025,117,37,44,46,32,91,46,26,0,34,267,85,140,15,26,19
"Block Group 1, Census Tract 102.01",659,71,48,44,64,69,47,13,49,29,39,34,72,32,22,13,13
"Block Group 2, Census Tract 102.01",1599,302,70,111,113,72,101,90,109,45,139,116,139,120,55,17,0
"Block Group 3, Census Tract 102.01",412,32,0,11,0,38,0,0,0,20,66,89,48,23,45,15,25
"Block Group 1, Census Tract 102.02",460,79,32,61,45,39,17,19,16,13,35,17,50,29,8,0,0
"Block Group 2, Census Tract 102.02",516,41,10,48,35,47,19,62,40,45,25,22,47,44,12,9,10
"Block Group 1, Census Tract 103",520,43,40,32,63,0,14,71,29,0,113,14,85,16,0,0,0
"Block Group 2, Census Tract 103",934,185,31,0,43,48,141,120,42,11,0,83,111,27,34,39,19
"Block Group 3, Census Tract 103",727,108,47,82,63,29,113,69,13,0,47,51,79,0,0,26,0
"Block Group 4, Census Tract 103",801,30,72,28,13,30,135,63,0,0,59,59,114,21,27,34,116
"Block Group 1, Census Tract 104",892,86,13,77,90,41,63,78,50,89,10,15,153,29,34,49,15
"Block Group 2, Census Tract 104",430,47,14,14,12,0,40,80,0,28,68,58,27,42,0,0,0
"Block Group 3, Census Tract 104",548,111,38,70,44,0,0,23,16,14,69,13,0,86,27,37,0
"Block Group 1, Census Tract 105.01",553,79,43,53,78,0,0,29,11,26,29,94,63,9,16,23,0
"Block Group 2, Census Tract 105.01",1030,84,82,43,97,67,74,71,64,79,156,98,84,0,0,0,31
"Block Group 3, Census Tract 105.01",765,166,102,137,97,19,23,32,14,0,55,0,30,41,13,36,0
"Block Group 1, Census Tract 105.02",529,50,68,51,41,36,67,0,15,29,40,19,42,25,28,8,10
"Block Group 2, Census Tract 105.02",976,82,97,97,71,49,87,53,113,59,81,50,36,50,15,36,0
"Block Group 1, Census Tract 105.03",731,253,89,75,54,8,8,22,12,7,30,17,22,0,60,36,38
"Block Group 2, Census Tract 105.03",318,98,12,0,7,7,25,18,0,20,45,29,42,8,7,0,0
"Block Group 1, Census Tract 106",942,32,15,61,28,107,66,27,31,66,84,130,92,108,31,46,18
"Block Group 2, Census Tract 106",228,46,0,0,0,30,0,12,0,0,23,20,19,14,0,8,56
"Block Group 3, Census Tract 106",996,141,178,28,30,117,0,15,36,53,49,107,72,0,51,39,80
"Block Group 4, Census Tract 106",827,104,98,51,97,15,52,120,72,34,20,65,9,56,34,0,0
"Block Group 1, Census Tract 107.01",752,77,29,74,67,62,27,30,52,25,21,103,113,0,8,42,22
"Block Group 2, Census Tract 107.01",778,27,0,8,37,21,38,8,61,61,25,133,126,107,51,42,33
"Block Group 1, Census Tract 107.02",693,87,50,11,56,14,8,68,31,59,39,70,94,33,39,16,18
"Block Group 2, Census Tract 107.02",422,17,45,91,32,8,39,31,42,0,19,20,10,33,11,11,13
"Block Group 3, Census Tract 107.02",570,19,75,85,46,10,20,34,29,38,43,47,89,35,0,0,0
"Block Group 4, Census Tract 107.02",364,29,52,31,0,22,14,43,17,32,36,31,49,0,0,0,8
"Block Group 1, Census Tract 201",842,106,11,0,17,31,0,91,27,87,120,49,129,80,36,19,39
