area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 4, Census Tract 206.02",562,12,0,23,0,10,13,0,11,16,10,10,47,136,18,31,225
"Block Group 1, Census Tract 207.01",491,6,116,7,0,7,23,0,25,7,32,39,43,52,26,27,81
"Block Group 2, Census Tract 207.01",273,0,0,7,9,10,20,0,0,0,11,20,36,54,25,34,47
"Block Group 1, Census Tract 207.02",617,15,0,0,12,82,0,27,79,50,8,94,11,92,26,82,39
"Block Group 2, Census Tract 207.02",763,32,10,13,16,144,61,67,0,0,80,15,177,57,60,12,19
"Block Group 3, Census Tract 207.02",571,88,10,0,0,42,0,56,0,74,43,13,31,98,18,57,41
"Block Group 4, Census Tract 207.02",532,61,0,51,0,0,0,42,0,0,0,58,179,5,0,0,136
"Block Group 1, Census Tract 208.01",495,0,15,0,32,20,10,41,57,15,67,57,29,67,82,0,3
"Block Group 2, Census Tract 208.01",527,10,0,0,0,26,0,0,0,104,0,12,186,71,7,47,64
"Block Group 3, Census Tract 208.01",448,16,0,0,0,0,37,18,11,0,84,23,36,50,64,12,97
"Block Group 4, Census Tract 208.01",705,55,0,42,29,0,180,106,0,0,46,16,126,15,16,47,27
"Block Group 1, Census Tract 208.02",427,0,0,0,0,16,54,0,0,0,0,53,62,48,98,50,46
"Block Group 2, Census Tract 208.02",614,0,0,0,0,0,0,79,60,44,195,25,84,14,74,0,39
"Block Group 3, Census Tract 208.02",572,16,0,50,0,0,0,71,0,0,150,0,159,26,7,70,23
"Block Group 4, Census Tract 208.02",518,76,87,0,66,5,47,0,0,19,19,13,108,0,3,0,75
"Block Group 1, Census Tract 209.01",914,29,13,21,127,32,46,0,19,273,54,85,66,9,44,29,67
"Block Group 2, Census Tract 209.01",403,5,72,56,0,46,0,0,31,27,40,17,19,0,28,28,34
"Block Group 3, Census Tract 209.01",880,12,44,109,36,58,0,0,36,0,153,0,179,40,136,37,40
"Block Group 1, Census Tract 209.02",878,50,33,19,148,43,28,60,24,64,149,47,49,78,7,40,39
"Block Group 2, Census Tract 209.02",719,62,54,35,10,0,47,56,32,41,93,69,92,84,12,10,22
"Block Group 1, Census Tract 301.01",375,0,38,57,57,52,0,11,0,0,55,64,24,0,17,0,0
"Block Group 2, Census Tract 301.01",391,63,0,21,33,56,20,0,18,0,71,49,47,0,13,0,0
"Block Group 3, Census Tract 301.01",728,42,27,20,138,23,0,83,56,41,115,0,132,10,19,22,0
"Block Group 4, Census Tract 301.01",553,17,18,0,38,10,30,0,20,0,35,91,78,29,69,84,34
"Block Group 1, Census Tract 301.02",533,44,20,9,0,32,6,6,11,29,49,106,88,26,12,43,52
"Block Group 2, Census Tract 301.02",704,124,46,28,0,31,0,60,0,180,117,27,27,0,16,38,10
"Block Group 3, Census Tract 301.02",641,142,25,11,40,20,19,10,12,0,65,135,65,21,17,11,48
"Block Group 1, Census Tract 301.03",360,17,6,64,19,36,6,34,6,0,34,31,27,6,13,12,49
"Block Group 2, Census Tract 301.03",670,33,70,0,31,45,0,43,12,39,82,100,122,15,63,8,7
"Block Group 1, Census Tract 301.04",700,105,16,27,25,20,11,11,9,69,28,100,80,61,8,75,55
"Block Group 2, Census Tract 301.04",291,55,38,8,30,13,38,59,8,5,0,0,27,10,0,0,0
"Block Group 1, Census Tract 302",716,13,12,11,0,41,56,17,0,94,58,85,106,16,11,77,119
"Block Group 2, Census Tract 302",687,21,50,0,0,0,36,13,102,87,61,34,95,66,14,38,70
"Block Group 3, Census Tract 302",410,14,0,0,12,0,0,0,0,0,19,16,55,12,15,46,221
"Block Group 4, Census Tract 302",762,0,31,0,18,12,10,25,11,0,42,62,14,227,56,95,159
"Block Group 1, Census Tract 303",694,33,0,18,24,16,56,59,26,17,42,50,119,96,43,15,80
"Block Group 2, Census Tract 303",796,31,51,43,41,0,48,32,46,25,95,22,21,42,125,95,79
"Block Group 1, Census Tract 304",757,41,69,12,40,10,95,11,0,0,37,19,85,72,88,106,72
"Block Group 2, Census Tract 304",521,0,9,0,43,0,16,0,11,0,9,7,138,71,70,49,98
"Block Group 1, Census Tract 305",730,15,38,0,0,0,0,0,27,43,67,0,110,51,190,65,124
"Block Group 2, Census Tract 305",784,0,0,0,10,46,0,0,15,13,17,30,145,158,108,88,154
"Block Group 3, Census Tract 305",726,0,0,14,28,18,13,0,71,0,55,50,104,88,97,106,82
"Block Group 4, Census Tract 305",743,13,0,46,0,0,0,0,13,0,27,55,215,134,48,113,79
"Block Group 1, Census Tract 306.01",593,12,15,29,11,94,0,30,0,49,111,18,77,95,45,0,7
