area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",284,28,37,0,0,36,0,0,0,0,0,18,0,17,49,48,51
"Block Group 2, Census Tract 101",1056,217,113,71,176,64,0,17,23,0,25,70,197,79,4,0,0
"Block Group 3, Census Tract 101",1113,146,15,27,0,73,57,52,88,45,53,63,152,132,36,78,96
"Block Group 1, Census Tract 102.01",856,53,60,54,43,58,112,72,10,16,69,72,116,56,17,6,42
"Block Group 2, Census Tract 102.01",621,103,0,0,0,0,191,0,10,0,70,74,46,43,71,0,13
"Block Group 3, Census Tract 102.01",745,211,11,25,48,55,9,58,0,11,74,145,35,0,47,16,0
"Block Group 4, Census Tract 102.01",673,70,0,24,42,0,125,25,0,5,17,97,141,46,81,0,0
"Block Group 1, Census Tract 102.02",587,92,42,61,69,15,23,0,88,24,27,62,49,14,14,0,7
"Block Group 2, Census Tract 102.02",596,35,8,0,6,23,14,90,45,21,45,81,95,58,0,69,6
"Block Group 1, Census Tract 103",486,105,16,28,44,0,0,0,69,0,26,44,40,54,50,10,0
"Block Group 2, Census Tract 103",987,78,63,9,158,30,12,84,0,10,37,103,236,50,48,42,27
"Block Group 3, Census Tract 103",842,55,14,78,121,56,59,41,89,21,30,87,126,35,0,18,12
"Block Group 4, Census Tract 103",720,30,103,25,10,14,83,65,0,0,63,34,93,16,27,53,104
"Block Group 1, Census Tract 104",625,144,31,0,40,15,18,32,13,14,79,56,121,19,17,0,26
"Block Group 2, Census Tract 104",618,25,14,0,0,0,33,134,107,0,76,18,18,180,0,13,0
"Block Group 3, Census Tract 104",971,88,395,66,45,18,0,73,14,13,50,27,13,74,46,49,0
"Block Group 1, Census Tract 105.01",550,26,88,45,42,43,32,50,15,0,31,17,91,29,0,0,41
"Block Group 2, Census Tract 105.01",945,51,15,30,15,92,50,137,73,41,121,91,143,29,40,0,17
"Block Group 3, Census Tract 105.01",811,38,167,17,102,23,11,58,0,42,153,53,54,0,22,63,8
"Block Group 1, Census Tract 105.02",517,76,54,9,25,0,42,26,32,8,37,68,62,25,26,27,0
"Block Group 2, Census Tract 105.02",992,114,102,62,80,40,78,40,44,43,96,77,74,97,27,8,10
"Block Group 1, Census Tract 105.03",692,260,105,100,36,18,0,6,1,27,21,13,47,8,11,19,20
"Block Group 2, Census Tract 105.03",366,111,4,63,36,9,0,6,0,10,29,42,11,22,23,0,0
"Block Group 1, Census Tract 106",854,0,0,11,0,22,70,20,57,41,180,51,180,47,22,32,121
"Block Group 2, Census Tract 106",302,0,0,0,0,33,0,0,14,0,0,0,19,40,142,33,21
"Block Group 3, Census Tract 106",1032,30,153,40,20,47,78,31,58,11,171,74,0,62,20,187,50
"Block Group 4, Census Tract 106",667,157,56,38,13,0,0,56,41,16,50,52,57,106,25,0,0
"Block Group 1, Census Tract 107.01",652,82,21,13,38,141,32,17,41,18,63,31,73,30,12,40,0
"Block Group 2, Census Tract 107.01",849,30,0,9,72,31,48,33,29,40,61,115,163,41,34,70,73
"Block Group 1, Census Tract 107.02",596,57,11,20,10,31,63,28,59,19,54,84,88,27,9,27,9
"Block Group 2, Census Tract 107.02",402,8,40,23,0,0,19,33,29,123,8,0,48,33,0,25,13
"Block Group 3, Census Tract 107.02",568,24,29,36,62,17,17,0,54,54,0,65,100,79,16,15,0
"Block Group 4, Census Tract 107.02",269,33,0,20,7,7,25,27,6,10,0,23,102,9,0,0,0
"Block Group 1, Census Tract 201",699,27,15,70,10,6,26,29,8,42,47,82,100,88,89,16,44
"Block Group 2, Census Tract 201",777,67,13,28,43,30,70,66,63,75,110,88,56,15,42,0,11
"Block Group 1, Census Tract 202",427,0,10,0,0,0,10,0,0,0,22,66,29,45,81,91,73
"Block Group 2, Census Tract 202",415,70,0,15,14,17,0,58,48,0,0,13,120,17,0,0,43
"Block Group 3, Census Tract 202",524,0,0,22,16,39,0,0,0,54,53,16,47,59,105,39,74
"Block Group 4, Census Tract 202",657,46,0,0,10,15,0,0,0,0,110,49,29,32,120,86,160
"Block Group 1, Census Tract 203.01",983,84,64,45,15,18,64,56,57,0,102,182,113,83,13,40,47
"Block Group 2, Census Tract 203.01",637,36,94,0,33,43,41,37,16,9,39,69,155,45,0,20,0
"Block Group 3, Census Tract 203.01",513,43,0,0,0,17,0,59,0,18,20,73,76,37,95,21,54
"Block Group 1, Census Tract 203.02",366,23,25,15,9,0,9,11,0,0,64,12,49,25,7,38,79
"Block Group 2, Census Tract 203.02",387,10,8,0,16,0,7,9,28,35,27,4,9,111,0,12,111
"Block Group 3, Census Tract 203.02",850,17,37,13,0,8,68,37,23,8,74,78,100,74,71,94,148
"Block Group 1, Census Tract 204",392,0,0,0,0,0,38,47,7,77,19,28,34,27,20,33,62
"Block Group 2, Census Tract 204",535,32,67,0,28,39,12,18,9,9,32,38,17,49,51,63,71
"Block Group 3, Census Tract 204",723,0,27,11,29,106,28,53,19,6,28,84,92,95,0,83,62
"Block Group 1, Census Tract 205",768,50,17,28,109,23,64,88,86,36,2,100,123,17,25,0,0
"Block Group 2, Census Tract 205",475,18,0,16,0,0,34,42,0,0,34,90,164,35,0,42,0
"Block Group 3, Census Tract 205",543,124,30,66,26,43,38,16,0,41,61,16,16,37,4,0,25
"Block Group 4, Census Tract 205",317,12,116,20,15,13,0,0,34,36,13,25,33,0,0,0,0
"Block Group 1, Census Tract 206.01",584,4,0,0,23,20,21,81,0,59,45,16,24,100,12,68,111
"Block Group 2, Census Tract 206.01",1065,118,0,76,102,47,0,0,20,65,166,42,275,59,59,0,36
"Block Group 3, Census Tract 206.01",349,38,14,0,20,22,61,0,0,64,58,3,14,15,8,0,32
"Block Group 1, Census Tract 206.02",454,44,0,8,0,0,0,53,36,48,97,87,31,11,0,0,39
"Block Group 2, Census Tract 206.02",214,0,0,29,9,11,0,0,28,0,20,60,44,13,0,0,0
"Block Group 3, Census Tract 206.02",408,0,39,38,0,13,0,0,12,5,41,119,33,0,66,42,0
"Block Group 4, Census Tract 206.02",556,12,0,23,0,0,0,10,21,9,0,10,65,157,20,208,21
"Block Group 1, Census Tract 207.01",447,9,129,6,11,15,0,22,3,30,29,13,16,38,30,32,64
"Block Group 2, Census Tract 207.01",283,0,4,5,4,31,14,0,0,3,27,11,36,39,39,28,42
"Block Group 1, Census Tract 207.02",589,32,13,45,138,0,16,72,41,0,28,74,16,0,91,23,0
"Block Group 2, Census Tract 207.02",782,17,0,17,15,63,59,36,0,80,95,122,137,38,30,63,10
"Block Group 3, Census Tract 207.02",590,73,0,0,17,0,64,41,66,43,63,40,73,11,0,62,37
"Block Group 4, Census Tract 207.02",421,42,17,9,0,44,75,0,0,0,0,36,48,5,12,133,0
"Block Group 1, Census Tract 208.01",583,0,0,0,37,0,36,53,45,55,66,47,96,53,15,14,66
"Block Group 2, Census Tract 208.01",415,0,0,0,0,37,0,0,118,0,14,16,166,47,17,0,0
"Block Group 3, Census Tract 208.01",425,13,0,37,17,42,0,11,0,14,144,28,31,0,53,35,0
"Block Group 4, Census Tract 208.01",772,45,0,56,36,110,83,0,31,19,31,120,7,127,21,52,34
"Block Group 1, Census Tract 208.02",326,0,0,16,0,41,0,0,0,0,50,101,0,66,19,0,33
"Block Group 2, Census Tract 208.02",588,0,0,17,60,24,57,0,74,22,93,34,25,70,48,47,17
"Block Group 3, Census Tract 208.02",847,39,58,50,45,17,105,40,25,34,144,47,111,90,0,42,0
"Block Group 4, Census Tract 208.02",405,62,51,19,0,25,29,0,11,25,26,0,49,13,16,0,79
"Block Group 1, Census Tract 209.01",827,16,56,98,130,17,0,17,166,13,84,12,95,53,24,29,17
"Block Group 2, Census Tract 209.01",416,17,20,48,25,42,0,0,60,27,28,27,20,33,25,36,8
"Block Group 3, Census Tract 209.01",944,48,45,75,64,71,32,10,44,9,107,138,105,43,108,11,34
"Block Group 1, Census Tract 209.02",924,79,59,131,41,18,108,83,60,54,95,42,82,9,21,36,6
