area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",236,34,35,0,0,37,0,0,0,0,0,20,15,29,26,40,0
"Block Group 2, Census Tract 101",1054,277,65,60,202,75,0,18,88,0,21,95,53,95,5,0,0
"Block Group 3, Census Tract 101",1073,172,12,26,26,112,60,55,17,45,28,115,135,66,79,60,65
"Block Group 1, Census Tract 102.01",712,71,40,67,49,10,107,10,18,0,54,96,77,87,12,0,14
"Block Group 2, Census Tract 102.01",1424,288,15,67,109,105,93,43,0,45,150,144,159,115,44,47,0
"Block Group 3, Census Tract 102.01",611,99,0,10,0,43,109,9,0,0,135,48,56,43,59,0,0
"Block Group 1, Census Tract 102.02",516,81,27,65,80,31,14,0,36,0,60,41,48,9,16,0,8
"Block Group 2, Census Tract 102.02",620,48,9,0,68,51,24,48,45,21,59,81,74,49,0,36,7
"Block Group 1, Census Tract 103",490,73,49,38,68,0,0,0,58,0,26,26,62,34,43,13,0
"Block Group 2, Census Tract 103",997,111,37,10,38,21,110,86,59,12,63,147,141,58,25,39,40
"Block Group 3, Census Tract 103",821,92,24,65,53,59,108,39,83,13,41,53,106,59,0,26,0
"Block Group 4, Census Tract 103",783,33,77,23,11,32,174,69,0,0,85,38,52,26,28,33,102
"Block Group 1, Census Tract 104",805,142,36,19,49,35,77,62,34,18,70,73,128,16,18,0,28
"Block Group 2, Census Tract 104",494,35,31,20,0,0,37,109,20,39,71,17,37,64,0,14,0
"Block Group 3, Census Tract 104",689,77,88,60,25,19,23,56,15,20,82,33,17,121,19,34,0
"Block Group 1, Census Tract 105.01",509,70,0,47,26,28,33,44,16,0,35,34,107,25,0,44,0
"Block Group 2, Census Tract 105.01",1086,71,41,31,29,112,80,84,72,148,112,92,149,32,16,0,17
"Block Group 3, Census Tract 105.01",779,57,135,119,95,21,11,61,0,14,52,19,43,34,24,71,23
"Block Group 1, Census Tract 105.02",510,51,35,23,33,0,52,42,18,40,31,42,50,31,27,27,8
"Block Group 2, Census Tract 105.02",1062,120,112,101,58,61,72,38,74,67,93,79,63,57,26,32,9
"Block Group 1, Census Tract 105.03",690,214,89,119,39,24,0,8,0,27,35,30,34,8,15,16,32
"Block Group 2, Census Tract 105.03",369,105,19,12,32,21,7,7,18,5,53,45,9,22,14,0,0
"Block Group 1, Census Tract 106",812,0,0,28,0,10,44,25,30,90,159,94,43,93,28,59,109
"Block Group 2, Census Tract 106",235,57,0,0,0,25,0,0,14,0,19,0,37,25,0,15,43
"Block Group 3, Census Tract 106",1110,129,215,41,37,113,19,32,40,15,154,81,36,34,16,72,76
"Block Group 4, Census Tract 106",776,159,64,40,17,0,11,108,44,20,39,69,54,131,20,0,0
"Block Group 1, Census Tract 107.01",598,87,16,23,36,62,0,19,40,19,80,52,57,22,13,47,25
