area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",233,38,11,0,0,16,19,0,0,0,0,21,51,0,0,77,0
"Block Group 2, Census Tract 101",988,248,68,42,202,33,0,17,44,0,0,104,156,65,0,9,0
"Block Group 3, Census Tract 101",1190,72,61,19,0,73,21,37,93,46,35,141,187,100,91,109,105
"Block Group 1, Census Tract 102.01",941,52,47,56,39,0,98,77,0,51,76,97,199,75,12,0,62
"Block Group 2, Census Tract 102.01",687,76,13,0,0,0,175,40,51,0,78,65,90,33,35,18,13
"Block Group 3, Census Tract 102.01",708,204,44,0,82,37,17,74,0,0,34,112,41,0,50,13,0
"Block Group 4, Census Tract 102.01",660,16,0,19,0,94,161,26,0,6,20,95,93,31,67,32,0
"Block Group 1, Census Tract 102.02",593,63,77,57,45,47,13,9,95,58,17,38,50,16,0,0,8
"Block Group 2, Census Tract 102.02",641,27,28,0,14,0,26,88,26,25,72,48,153,43,0,63,28
"Block Group 1, Census Tract 103",453,78,11,26,0,15,0,0,11,72,0,50,54,53,59,16,8
"Block Group 2, Census Tract 103",1112,88,36,58,53,178,0,53,82,0,90,42,251,84,33,23,41
"Block Group 3, Census Tract 103",771,58,11,14,140,0,37,49,0,54,15,93,127,62,0,23,88
"Block Group 4, Census Tract 103",659,27,46,47,0,14,43,16,0,0,64,169,87,31,15,72,28
"Block Group 1, Census Tract 104",672,126,51,0,0,17,14,18,31,54,50,105,104,17,35,18,32
"Block Group 2, Census Tract 104",491,15,19,0,0,0,15,91,129,0,17,17,17,116,38,17,0
"Block Group 3, Census Tract 104",871,81,341,29,53,16,0,48,40,0,93,29,0,67,40,34,0
"Block Group 1, Census Tract 105.01",560,71,20,159,43,0,67,11,0,19,44,0,47,28,0,0,51
"Block Group 2, Census Tract 105.01",1042,15,75,9,16,60,73,45,175,38,69,92,233,54,67,0,21
