area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",312,70,78,0,34,0,0,0,0,0,0,0,21,86,14,9,0
"Block Group 2, Census Tract 101",833,193,110,91,140,37,0,49,13,0,28,86,4,52,0,30,0
"Block Group 3, Census Tract 101",1061,123,52,38,80,59,95,26,0,14,44,266,79,147,24,14,0
"Block Group 1, Census Tract 102.01",619,66,71,69,47,79,0,30,15,28,0,36,57,47,45,13,16
"Block Group 2, Census Tract 102.01",1673,214,145,127,125,108,31,175,86,34,155,168,162,74,18,51,0
"Block Group 3, Census Tract 102.01",430,45,27,11,0,32,0,0,13,0,117,76,49,0,13,16,31
"Block Group 1, Census Tract 102.02",456,61,37,72,60,44,18,0,5,13,38,25,52,14,17,0,0
"Block Group 2, Census Tract 102.02",535,56,19,54,54,41,33,64,33,9,28,20,68,38,0,18,0
"Block Group 1, Census Tract 103",515,9,40,35,63,14,0,77,14,10,107,60,72,14,0,0,0
"Block Group 2, Census Tract 103",849,131,36,0,64,46,75,131,42,21,25,94,55,36,31,30,32
"Block Group 3, Census Tract 103",729,137,109,88,27,28,72,51,29,0,42,72,48,0,0,26,0
"Block Group 4, Census Tract 103",817,63,74,14,14,29,117,75,0,0,53,43,130,33,28,32,112
"Block Group 1, Census Tract 104",816,55,14,96,81,67,81,88,27,48,11,32,114,52,0,50,0
"Block Group 2, Census Tract 104",490,49,14,15,13,0,54,72,0,29,127,60,43,14,0,0,0
"Block Group 3, Census Tract 104",619,106,39,59,47,29,0,44,0,58,14,0,35,74,27,72,15
"Block Group 1, Census Tract 105.01",563,80,43,39,78,35,32,12,13,28,32,92,12,11,11,45,0
"Block Group 2, Census Tract 105.01",899,86,99,39,106,66,75,44,59,103,70,91,49,0,0,0,12
"Block Group 3, Census Tract 105.01",849,216,61,116,105,36,24,31,16,14,53,18,45,46,53,15,0
"Block Group 1, Census Tract 105.02",578,57,76,68,30,67,40,0,21,24,69,19,27,13,50,7,10
"Block Group 2, Census Tract 105.02",931,92,87,118,73,92,48,49,102,66,28,29,22,46,39,31,9
"Block Group 1, Census Tract 105.03",802,317,96,60,56,9,0,26,22,0,30,32,22,0,57,27,48
"Block Group 2, Census Tract 105.03",339,96,19,0,0,29,26,21,18,0,61,8,52,0,9,0,0
"Block Group 1, Census Tract 106",1142,32,16,96,32,165,70,30,33,94,139,128,107,96,55,49,0
"Block Group 2, Census Tract 106",249,48,0,0,0,8,0,13,0,0,17,70,10,15,0,23,45
"Block Group 3, Census Tract 106",884,106,124,52,34,95,0,37,24,12,97,111,78,0,38,40,36
"Block Group 4, Census Tract 106",776,54,60,32,119,30,84,68,81,38,41,43,29,71,26,0,0
"Block Group 1, Census Tract 107.01",762,69,23,43,69,78,29,39,49,24,73,82,109,3,8,37,27
"Block Group 2, Census Tract 107.01",802,29,16,0,46,28,27,9,64,16,100,136,154,66,58,19,34
"Block Group 1, Census Tract 107.02",647,86,25,9,80,18,0,80,24,57,9,59,76,50,27,30,17
"Block Group 2, Census Tract 107.02",516,37,34,140,52,17,57,15,24,0,27,15,44,21,9,24,0
"Block Group 3, Census Tract 107.02",514,26,66,86,41,9,9,34,5,43,50,26,74,30,0,15,0
"Block Group 4, Census Tract 107.02",404,76,34,39,8,0,23,41,16,31,51,17,62,0,0,0,6
"Block Group 1, Census Tract 201",888,143,0,8,8,23,17,63,27,89,162,44,116,117,28,14,29
"Block Group 2, Census Tract 201",595,54,0,101,35,0,52,45,17,21,46,82,42,20,10,9,61
"Block Group 1, Census Tract 202",471,0,0,0,15,0,20,0,0,21,15,16,103,68,73,105,35
"Block Group 2, Census Tract 202",489,121,0,12,114,37,29,0,0,0,41,44,51,0,0,26,14
"Block Group 3, Census Tract 202",572,23,34,0,33,14,37,24,0,23,0,18,54,162,53,65,32
"Block Group 4, Census Tract 202",542,103,0,30,22,0,0,0,0,45,24,128,11,43,60,35,41
"Block Group 1, Census Tract 203.01",910,132,50,26,26,36,64,9,50,106,25,139,66,97,34,24,26
"Block Group 2, Census Tract 203.01",514,89,0,18,7,18,26,25,31,40,27,85,54,34,0,26,34
"Block Group 3, Census Tract 203.01",557,0,0,9,28,50,52,26,0,19,42,30,90,62,27,41,81
"Block Group 1, Census Tract 203.02",259,38,12,19,0,9,18,11,42,0,16,7,26,26,18,8,9
"Block Group 2, Census Tract 203.02",358,9,0,27,13,8,8,9,8,22,25,27,17,90,40,24,31
"Block Group 3, Census Tract 203.02",1143,48,55,61,73,8,44,19,65,20,77,127,147,134,86,89,90
"Block Group 1, Census Tract 204",345,7,19,10,33,8,19,26,25,27,0,20,91,39,14,0,7
"Block Group 2, Census Tract 204",598,13,19,15,55,17,20,22,0,41,25,50,89,67,36,73,56
"Block Group 3, Census Tract 204",780,70,52,20,26,48,46,59,0,38,68,66,115,69,53,27,23
"Block Group 1, Census Tract 205",912,41,41,46,104,80,73,47,148,0,103,41,108,48,0,32,0
"Block Group 2, Census Tract 205",291,0,0,14,54,0,13,15,12,44,34,39,10,0,13,43,0
"Block Group 3, Census Tract 205",478,128,67,40,17,23,22,87,27,13,30,15,0,0,9,0,0
"Block Group 4, Census Tract 205",374,94,0,0,26,0,27,0,93,33,19,18,30,13,0,21,0
"Block Group 1, Census Tract 206.01",718,63,0,0,0,0,100,63,86,23,40,0,15,62,96,89,81
"Block Group 2, Census Tract 206.01",844,174,0,161,14,127,21,32,66,15,87,73,17,0,28,14,15
"Block Group 3, Census Tract 206.01",411,14,15,0,0,14,96,60,51,29,0,33,29,0,26,20,24
"Block Group 1, Census Tract 206.02",419,39,20,9,22,16,11,36,27,35,78,55,42,20,0,0,9
"Block Group 2, Census Tract 206.02",235,4,32,0,35,7,19,0,27,0,18,19,27,28,19,0,0
"Block Group 3, Census Tract 206.02",364,45,7,74,19,30,21,6,23,35,7,8,10,33,16,22,8
"Block Group 4, Census Tract 206.02",334,39,0,20,23,47,0,6,6,26,31,47,9,8,22,21,29
"Block Group 1, Census Tract 207.01",337,22,0,9,6,5,6,20,29,29,11,36,42,39,27,33,23
"Block Group 2, Census Tract 207.01",252,20,0,5,12,11,13,0,2,6,21,26,13,36,28,23,36
"Block Group 1, Census Tract 207.02",710,73,19,50,78,31,15,28,48,0,88,21,133,112,14,0,0
"Block Group 2, Census Tract 207.02",809,54,0,89,46,13,28,32,60,14,85,228,73,55,0,0,32
"Block Group 3, Census Tract 207.02",530,57,52,28,13,0,28,59,41,0,55,32,81,65,0,19,0
"Block Group 4, Census Tract 207.02",211,23,15,16,16,44,7,0,0,0,14,16,0,16,44,0,0
"Block Group 1, Census Tract 208.01",629,0,0,61,0,17,47,33,52,29,69,63,101,69,0,43,45
"Block Group 2, Census Tract 208.01",310,16,0,0,18,0,0,16,0,27,16,43,60,29,31,46,8
"Block Group 3, Census Tract 208.01",427,39,13,16,29,20,49,0,56,0,24,75,16,31,34,0,25
"Block Group 4, Census Tract 208.01",645,50,0,66,82,110,16,81,0,17,29,17,62,103,0,12,0
"Block Group 1, Census Tract 208.02",404,11,34,43,0,0,0,0,0,15,0,64,55,32,56,41,53
"Block Group 2, Census Tract 208.02",584,40,4,65,20,30,0,0,128,50,43,11,21,121,0,51,0
"Block Group 3, Census Tract 208.02",756,68,91,40,35,93,0,55,10,0,30,22,200,39,37,11,25
"Block Group 4, Census Tract 208.02",428,28,26,90,47,38,7,0,26,23,8,24,81,0,15,0,15
"Block Group 1, Census Tract 209.01",790,57,36,38,46,112,61,36,113,27,44,101,49,31,10,29,0
"Block Group 2, Census Tract 209.01",284,15,22,9,39,30,42,5,8,0,34,8,32,24,16,0,0
"Block Group 3, Census Tract 209.01",721,45,25,57,22,49,62,77,55,39,70,27,104,55,17,17,0
"Block Group 1, Census Tract 209.02",718,54,90,150,37,22,41,21,63,44,34,44,55,30,17,16,0
"Block Group 2, Census Tract 209.02",836,121,13,52,81,45,37,78,28,31,81,80,105,37,31,9,7
"Block Group 1, Census Tract 301.01",507,57,28,15,10,52,61,36,48,35,85,51,13,16,0,0,0
"Block Group 2, Census Tract 301.01",270,0,25,0,0,0,0,30,30,0,77,29,79,0,0,0,0
"Block Group 3, Census Tract 301.01",629,51,106,15,24,29,47,40,91,0,144,20,45,17,0,0,0
"Block Group 4, Census Tract 301.01",661,41,33,54,0,48,14,15,0,10,95,41,133,40,0,86,51
"Block Group 1, Census Tract 301.02",699,21,23,7,0,114,15,37,36,41,94,107,78,45,29,25,27
"Block Group 2, Census Tract 301.02",647,88,73,71,89,38,24,31,73,8,38,16,31,59,8,0,0
"Block Group 3, Census Tract 301.02",465,39,0,29,57,32,10,18,32,8,89,26,52,40,8,25,0
"Block Group 1, Census Tract 301.03",263,20,15,46,7,20,14,0,0,7,83,23,0,15,7,6,0
"Block Group 2, Census Tract 301.03",744,77,101,33,58,7,60,73,33,9,37,44,43,53,67,16,33
"Block Group 1, Census Tract 301.04",825,121,71,45,7,47,14,112,15,0,44,148,83,50,46,22,0
