area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 101",248,72,32,0,0,31,0,0,0,0,0,0,16,50,10,37,0
"Block Group 2, Census Tract 101",947,294,55,81,140,41,0,29,70,0,11,115,16,73,3,19,0
"Block Group 3, Census Tract 101",1121,108,25,46,37,97,71,53,27,17,29,130,208,126,58,32,57
"Block Group 1, Census Tract 102.01",676,51,29,26,63,53,73,11,46,0,94,57,79,47,23,14,10
"Block Group 2, Census Tract 102.01",1513,343,38,156,83,83,120,61,40,22,126,156,89,103,74,19,0
"Block Group 3, Census Tract 102.01",499,79,0,10,0,76,0,0,0,0,140,30,47,41,43,0,33
"Block Group 1, Census Tract 102.02",510,96,28,78,57,40,14,8,27,0,56,24,48,18,16,0,0
"Block Group 2, Census Tract 102.02",592,36,0,10,56,71,25,47,27,59,19,98,41,63,0,28,12
"Block Group 1, Census Tract 103",473,48,38,11,70,0,13,55,43,0,38,15,99,29,0,14,0
"Block Group 2, Census Tract 103",986,161,19,10,39,42,138,85,54,34,0,130,161,26,0,55,32
"Block Group 3, Census Tract 103",751,94,74,52,14,64,97,26,83,0,32,76,93,34,0,12,0
"Block Group 4, Census Tract 103",827,29,77,32,12,31,184,67,0,0,70,36,79,22,41,18,129
"Block Group 1, Census Tract 104",810,125,33,58,49,47,64,53,42,15,57,31,129,27,18,35,27
"Block Group 2, Census Tract 104",452,40,16,18,12,0,48,80,0,36,77,23,52,50,0,0,0
"Block Group 3, Census Tract 104",676,129,43,66,38,0,19,50,19,31,79,29,0,114,20,39,0
"Block Group 1, Census Tract 105.01",536,82,7,41,75,19,16,37,28,0,15,80,58,10,0,68,0
"Block Group 2, Census Tract 105.01",1008,81,35,32,56,108,78,80,39,132,122,63,139,13,0,0,30
"Block Group 3, Census Tract 105.01",881,134,151,149,127,26,16,50,0,15,42,15,28,29,32,36,31
"Block Group 1, Census Tract 105.02",500,42,38,54,22,0,79,23,29,32,46,27,41,15,26,19,7
"Block Group 2, Census Tract 105.02",1008,104,91,101,52,55,66,53,74,110,93,66,32,43,18,50,0
"Block Group 1, Census Tract 105.03",658,197,83,78,39,18,9,8,34,22,16,49,20,4,16,17,48
"Block Group 2, Census Tract 105.03",310,87,22,8,30,15,16,0,18,6,28,43,9,21,7,0,0
"Block Group 1, Census Tract 106",794,23,15,83,32,12,0,55,12,71,87,74,67,111,25,80,47
"Block Group 2, Census Tract 106",209,52,0,0,0,21,0,13,0,0,20,18,15,15,0,11,44
"Block Group 3, Census Tract 106",1080,155,194,39,32,78,17,28,36,24,96,68,64,36,26,91,96
"Block Group 4, Census Tract 106",792,151,75,36,60,0,26,117,22,34,41,83,13,102,32,0,0
"Block Group 1, Census Tract 107.01",640,74,36,26,93,44,7,12,57,10,63,46,70,30,0,49,23
"Block Group 2, Census Tract 107.01",819,34,0,10,43,27,62,31,44,50,48,117,127,100,28,53,45
"Block Group 1, Census Tract 107.02",681,47,21,10,10,13,48,83,72,41,44,90,115,24,24,30,9
"Block Group 2, Census Tract 107.02",419,8,39,33,27,19,54,30,55,29,11,17,22,37,0,17,21
"Block Group 3, Census Tract 107.02",580,47,82,80,26,12,12,11,35,19,28,74,102,52,0,0,0
"Block Group 4, Census Tract 107.02",380,43,30,54,0,34,15,83,19,0,17,20,51,7,0,0,7
"Block Group 1, Census Tract 201",854,75,24,53,19,11,0,54,33,49,55,123,137,90,44,36,51
"Block Group 2, Census Tract 201",702,55,41,30,45,29,87,84,16,66,55,98,10,37,10,21,18
"Block Group 1, Census Tract 202",434,0,0,0,0,20,19,0,0,12,16,0,77,37,121,77,55
"Block Group 2, Census Tract 202",558,143,0,11,151,42,21,0,17,0,0,67,43,0,0,25,38
"Block Group 3, Census Tract 202",505,22,11,13,0,56,47,0,0,0,64,0,66,128,41,27,30
"Block Group 4, Census Tract 202",638,24,0,6,35,11,0,0,0,0,182,143,11,31,30,133,32
"Block Group 1, Census Tract 203.01",885,106,58,24,23,27,72,8,69,56,48,95,96,105,26,18,54
"Block Group 2, Census Tract 203.01",547,69,31,25,26,38,29,49,16,18,51,49,34,40,16,24,32
"Block Group 3, Census Tract 203.01",593,29,0,9,0,73,8,67,0,0,45,71,86,70,63,6,66
"Block Group 1, Census Tract 203.02",351,48,18,6,0,9,29,9,9,10,74,0,17,17,22,19,64
"Block Group 2, Census Tract 203.02",457,9,0,28,83,7,30,8,9,0,54,26,28,109,11,28,27
"Block Group 3, Census Tract 203.02",928,44,73,9,0,18,8,53,15,24,95,130,85,91,105,82,96
"Block Group 1, Census Tract 204",343,12,9,0,10,20,31,20,9,25,34,17,62,14,32,16,32
"Block Group 2, Census Tract 204",540,25,42,0,43,25,7,28,9,40,25,26,58,44,65,57,46
"Block Group 3, Census Tract 204",786,13,42,56,5,48,67,38,30,21,27,133,72,96,48,49,41
"Block Group 1, Census Tract 205",877,46,29,36,79,58,48,64,94,50,86,83,114,27,28,35,0
"Block Group 2, Census Tract 205",462,18,0,28,44,0,15,19,14,15,53,110,31,58,0,57,0
"Block Group 3, Census Tract 205",568,96,32,83,67,0,74,36,36,0,51,14,34,15,12,0,18
"Block Group 4, Census Tract 205",228,37,0,16,33,15,0,0,35,35,20,23,0,0,0,14,0
"Block Group 1, Census Tract 206.01",699,69,0,0,21,0,19,114,0,70,31,61,29,14,94,109,68
"Block Group 2, Census Tract 206.01",909,189,0,95,18,130,18,46,118,0,93,82,54,8,34,19,5
"Block Group 3, Census Tract 206.01",371,0,0,0,38,18,124,11,45,19,19,13,40,0,0,0,44
"Block Group 1, Census Tract 206.02",425,42,0,12,8,0,0,48,8,54,107,52,36,41,0,0,17
"Block Group 2, Census Tract 206.02",247,2,34,23,16,11,0,0,32,8,8,48,22,9,34,0,0
"Block Group 3, Census Tract 206.02",419,56,39,71,0,36,10,18,20,0,36,31,19,12,41,30,0
"Block Group 4, Census Tract 206.02",330,41,0,25,0,0,0,0,15,0,28,56,34,29,17,57,28
"Block Group 1, Census Tract 207.01",347,4,9,11,12,25,5,0,46,28,29,10,33,40,21,24,50
"Block Group 2, Census Tract 207.01",284,5,5,0,5,38,18,0,0,15,16,11,17,31,35,34,54
"Block Group 1, Census Tract 207.02",881,50,13,56,205,37,25,41,71,0,47,125,106,24,73,8,0
"Block Group 2, Census Tract 207.02",722,30,0,0,79,78,14,32,0,20,96,115,120,76,0,27,35
"Block Group 3, Census Tract 207.02",509,13,39,14,26,0,40,54,58,40,115,49,40,21,0,0,0
"Block Group 4, Census Tract 207.02",231,0,25,5,0,52,98,0,0,0,0,12,0,23,16,0,0
"Block Group 1, Census Tract 208.01",667,0,0,6,44,2,31,33,94,61,63,42,97,102,0,53,39
"Block Group 2, Census Tract 208.01",231,14,0,0,0,35,0,11,12,0,0,49,28,19,29,17,17
"Block Group 3, Census Tract 208.01",461,48,11,57,28,0,0,23,57,17,54,44,12,16,40,35,19
"Block Group 4, Census Tract 208.01",803,35,0,129,15,96,100,42,36,0,55,16,118,105,28,13,15
"Block Group 1, Census Tract 208.02",439,0,0,36,0,26,0,0,0,21,14,95,11,112,56,42,26
"Block Group 2, Census Tract 208.02",613,0,0,80,52,55,21,0,59,92,42,46,33,29,26,58,20
"Block Group 3, Census Tract 208.02",833,67,98,47,65,91,19,66,61,39,11,11,158,43,31,14,12
"Block Group 4, Census Tract 208.02",438,59,60,14,6,67,8,0,0,36,17,0,131,27,0,0,13
"Block Group 1, Census Tract 209.01",833,51,42,81,19,121,51,53,21,48,43,128,91,52,21,11,0
"Block Group 2, Census Tract 209.01",304,19,9,0,40,18,0,0,37,7,24,15,42,29,31,33,0
"Block Group 3, Census Tract 209.01",734,38,25,47,57,0,56,14,44,39,103,102,72,80,18,17,22
"Block Group 1, Census Tract 209.02",867,41,105,67,58,20,99,97,57,31,37,57,80,28,51,39,0
"Block Group 2, Census Tract 209.02",749,114,12,71,36,40,44,76,45,48,55,83,48,36,0,28,13
"Block Group 1, Census Tract 301.01",402,11,14,0,62,23,68,0,14,31,89,65,14,11,0,0,0
"Block Group 2, Census Tract 301.01",291,13,62,0,10,0,0,14,44,0,15,79,24,30,0,0,0
"Block Group 3, Census Tract 301.01",597,80,0,36,80,0,72,0,56,125,59,15,45,29,0,0,0
"Block Group 4, Census Tract 301.01",657,41,37,46,25,41,0,0,0,8,60,52,96,101,11,44,95
"Block Group 1, Census Tract 301.02",609,56,40,20,45,0,18,25,7,43,86,83,57,63,0,22,44
"Block Group 2, Census Tract 301.02",662,78,76,36,129,0,16,57,73,44,50,29,22,34,0,9,9
"Block Group 3, Census Tract 301.02",497,38,0,37,17,17,33,46,18,12,59,37,85,27,30,25,16
"Block Group 1, Census Tract 301.03",301,12,15,0,34,18,16,0,0,0,55,17,33,73,6,22,0
"Block Group 2, Census Tract 301.03",615,91,20,49,7,38,17,55,50,50,34,68,34,21,8,36,37
"Block Group 1, Census Tract 301.04",798,115,55,64,58,28,6,91,23,0,35,59,125,33,0,101,5
"Block Group 2, Census Tract 301.04",274,37,22,13,5,72,18,8,0,17,0,49,20,0,7,6,0
"Block Group 1, Census Tract 302",791,42,0,43,46,32,59,60,48,15,51,53,141,19,100,16,66
"Block Group 2, Census Tract 302",631,24,0,0,0,0,0,99,41,33,48,110,100,73,15,53,35
"Block Group 3, Census Tract 302",380,91,0,0,0,0,0,0,0,11,10,13,13,95,23,81,43
"Block Group 4, Census Tract 302",703,15,65,106,36,0,49,16,0,72,59,56,16,60,51,25,77
"Block Group 1, Census Tract 303",716,40,82,22,44,43,43,51,29,26,32,57,121,35,20,49,22
"Block Group 2, Census Tract 303",766,148,56,45,55,34,59,75,48,39,18,0,46,0,51,28,64
"Block Group 1, Census Tract 304",837,87,60,82,34,54,57,37,52,34,45,51,98,55,9,51,31
"Block Group 2, Census Tract 304",470,38,6,19,19,21,16,6,0,19,45,45,97,18,20,40,61
"Block Group 1, Census Tract 305",574,38,0,16,0,0,0,14,0,26,0,45,123,61,119,49,83
"Block Group 2, Census Tract 305",911,0,39,14,0,56,0,15,71,30,101,114,112,113,49,95,102
"Block Group 3, Census Tract 305",671,0,12,52,17,25,0,0,0,79,95,57,47,103,51,86,47
"Block Group 4, Census Tract 305",762,0,51,0,16,0,0,95,25,14,73,102,155,56,32,60,83
"Block Group 1, Census Tract 306.01",588,14,28,0,61,56,70,29,94,19,44,68,51,42,12,0,0
"Block Group 2, Census Tract 306.01",486,116,0,104,56,17,0,28,13,0,18,0,29,14,25,50,16
"Block Group 3, Census Tract 306.01",902,33,63,21,45,65,97,14,74,5,86,88,124,29,87,51,20
"Block Group 1, Census Tract 306.03",584,77,81,33,45,36,36,35,47,18,21,37,17,61,0,19,21
"Block Group 2, Census Tract 306.03",831,144,79,25,40,100,26,18,31,49,71,75,54,34,7,37,41
"Block Group 1, Census Tract 306.04",863,77,29,64,41,62,46,28,26,47,59,160,58,36,27,87,16
"Block Group 2, Census Tract 306.04",683,55,32,10,78,15,28,22,21,8,42,147,67,65,27,27,39
"Block Group 3, Census Tract 306.04",583,165,142,102,26,83,9,0,7,0,0,15,0,18,0,0,16
"Block Group 1, Census Tract 307.01",901,84,33,76,93,70,39,43,41,19,92,61,114,104,5,27,0
"Block Group 1, Census Tract 307.02",576,39,17,16,20,19,12,31,20,63,17,72,82,58,0,54,56
"Block Group 2, Census Tract 307.02",853,146,44,9,22,42,75,15,36,17,62,56,65,82,52,95,35
"Block Group 1, Census Tract 307.03",551,176,13,71,15,34,0,0,27,0,47,16,38,58,0,14,42
"Block Group 2, Census Tract 307.03",347,85,111,27,20,55,7,6,0,0,21,0,0,15,0,0,0
"Block Group 3, Census Tract 307.03",865,70,15,30,45,18,42,39,40,50,95,82,104,71,59,62,43
