area_name,Total,"Less than $10,000","$10,000 to \$14,999","\$15,000 to \$19,999","$20,000 to \$24,999","$25,000 to \$29,999","$30,000 to \$34,999","$35,000 to \$39,999","$40,000 to \$44,999","$45,000 to \$49,999","$50,000 to \$59,999","$60,000 to \$74,999","$75,000 to \$99,999","$100,000 to \$124,999","$125,000 to \$149,999","$150,000 to \$199,999","$200,000 or more"
"Block Group 1, Census Tract 307.06",1231,138,16,73,76,137,62,104,18,36,94,193,75,62,21,88,38
"Block Group 2, Census Tract 307.06",777,30,23,117,60,120,17,49,0,0,113,53,76,17,12,33,57
"Block Group 1, Census Tract 308",496,57,0,11,12,0,77,20,38,39,54,14,45,47,0,32,50
"Block Group 2, Census Tract 308",505,50,0,0,0,0,0,14,0,0,41,0,126,68,68,33,105
"Block Group 3, Census Tract 308",492,32,0,0,14,34,13,0,0,0,40,59,60,17,59,96,68
"Block Group 4, Census Tract 308",456,0,0,23,0,0,13,10,15,40,27,107,17,26,82,27,69
"Block Group 1, Census Tract 309",197,9,0,0,0,0,10,0,8,8,24,8,19,58,8,25,20
"Block Group 2, Census Tract 309",480,0,55,45,0,0,60,37,0,43,0,49,41,33,26,37,54
"Block Group 3, Census Tract 309",440,8,37,18,0,0,0,0,0,22,0,10,39,78,53,96,79
"Block Group 4, Census Tract 309",278,0,0,0,0,0,0,0,0,0,25,81,70,16,30,8,48
"Block Group 1, Census Tract 310",484,10,0,41,38,17,15,26,7,0,23,61,57,22,45,47,75
"Block Group 2, Census Tract 310",680,0,15,42,62,55,28,20,28,22,59,8,94,64,81,28,74
"Block Group 3, Census Tract 310",841,13,7,11,0,61,8,27,14,74,70,45,171,123,66,57,94
"Block Group 1, Census Tract 311",825,41,30,16,31,0,11,8,0,35,17,96,84,192,105,70,89
"Block Group 2, Census Tract 311",579,125,0,30,35,0,41,0,0,56,68,59,94,39,32,0,0
"Block Group 3, Census Tract 311",909,16,36,50,25,82,13,131,15,0,84,51,106,89,66,90,55
"Block Group 1, Census Tract 312",559,80,12,0,14,33,0,0,42,0,25,15,53,102,15,47,121
"Block Group 2, Census Tract 312",553,81,76,31,0,25,0,74,98,56,31,36,15,0,16,14,0
"Block Group 3, Census Tract 312",836,295,17,99,42,185,0,17,42,38,0,57,17,0,0,11,16
"Block Group 4, Census Tract 312",788,121,12,41,44,0,40,0,78,41,32,84,75,114,0,46,60
"Block Group 1, Census Tract 313",535,15,15,30,15,88,58,75,30,0,83,16,28,14,14,0,54
"Block Group 2, Census Tract 313",923,93,31,0,76,47,44,72,24,40,139,41,212,40,27,24,13
"Block Group 3, Census Tract 313",353,42,14,0,53,15,73,30,0,0,0,16,16,32,0,62,0
"Block Group 4, Census Tract 313",1232,281,86,60,97,83,68,115,11,66,25,85,62,44,0,101,48
"Block Group 5, Census Tract 313",1046,85,46,14,14,62,28,75,52,58,129,166,110,135,16,14,42
"Block Group 1, Census Tract 314",936,36,0,28,105,16,37,22,0,54,92,151,97,86,30,117,65
"Block Group 2, Census Tract 314",387,30,14,51,0,0,0,14,0,12,41,31,42,43,28,65,16
"Block Group 3, Census Tract 314",651,63,8,42,27,24,50,16,31,48,97,33,162,15,0,0,35
"Block Group 4, Census Tract 314",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 5, Census Tract 314",541,16,9,0,29,17,30,0,0,14,60,83,0,77,43,38,125
"Block Group 6, Census Tract 314",500,14,22,16,0,0,21,0,27,0,31,52,141,25,49,45,57
"Block Group 1, Census Tract 315.01",475,132,54,19,53,85,27,0,0,7,21,48,20,9,0,0,0
"Block Group 2, Census Tract 315.01",905,157,67,80,71,19,0,0,29,39,34,86,140,54,37,47,45
"Block Group 3, Census Tract 315.01",470,93,62,88,42,9,10,9,29,22,42,39,0,8,17,0,0
"Block Group 1, Census Tract 315.02",700,79,29,0,76,59,65,45,0,15,50,90,13,0,107,41,31
"Block Group 2, Census Tract 315.02",619,155,122,0,0,19,58,51,0,30,13,52,25,44,0,14,36
"Block Group 3, Census Tract 315.02",1059,361,135,59,165,57,0,84,39,0,78,0,32,23,12,0,14
"Block Group 1, Census Tract 317",1126,242,113,70,12,74,60,55,48,14,76,32,110,109,28,11,72
"Block Group 2, Census Tract 317",1051,152,128,41,204,0,13,0,34,14,28,47,119,96,53,72,50
"Block Group 3, Census Tract 317",797,13,0,39,26,27,57,20,67,55,26,61,97,53,73,66,117
"Block Group 4, Census Tract 317",557,80,0,0,0,22,0,0,13,0,9,81,161,43,0,54,94
"Block Group 1, Census Tract 318",966,28,16,27,46,28,72,36,22,44,65,80,130,101,60,101,110
"Block Group 1, Census Tract 319",611,8,14,26,56,23,21,54,0,31,22,70,108,50,58,40,30
"Block Group 2, Census Tract 319",649,23,17,18,25,16,8,35,49,38,58,83,48,39,59,50,83
"Block Group 1, Census Tract 321",882,129,0,0,29,33,28,0,0,28,26,28,156,182,44,61,138
"Block Group 2, Census Tract 321",625,91,39,30,68,25,60,0,27,0,58,85,28,44,0,44,26
"Block Group 3, Census Tract 321",1059,235,32,178,37,0,22,28,10,114,84,65,28,0,152,20,54
"Block Group 4, Census Tract 321",852,0,96,0,172,103,28,0,65,39,60,0,181,0,31,40,37
"Block Group 5, Census Tract 321",432,0,56,0,0,0,0,0,31,0,0,25,0,76,28,106,110
"Block Group 1, Census Tract 401",538,7,0,0,0,45,48,5,24,0,17,63,63,85,83,41,57
"Block Group 2, Census Tract 401",709,20,18,17,0,17,0,51,39,15,88,88,144,32,28,87,65
"Block Group 3, Census Tract 401",356,19,10,10,8,0,0,18,8,0,0,57,64,53,24,19,66
"Block Group 1, Census Tract 402.01",583,0,0,32,15,13,0,31,0,41,30,75,98,74,33,35,106
"Block Group 2, Census Tract 402.01",678,0,20,20,79,27,37,0,67,16,125,68,59,26,47,66,21
"Block Group 3, Census Tract 402.01",702,51,14,23,39,0,11,15,31,48,29,65,114,79,46,122,15
"Block Group 4, Census Tract 402.01",999,28,49,25,0,0,15,104,62,51,49,156,155,133,78,24,70
"Block Group 1, Census Tract 402.02",433,13,90,18,53,24,22,39,0,0,20,39,17,0,66,32,0
"Block Group 2, Census Tract 402.02",1094,32,74,143,71,0,17,32,83,48,46,191,113,34,52,12,146
"Block Group 3, Census Tract 402.02",590,110,68,12,33,42,22,31,37,14,37,24,62,54,44,0,0
"Block Group 4, Census Tract 402.02",844,156,80,9,44,73,147,25,32,52,66,0,60,36,13,12,39
"Block Group 1, Census Tract 403",371,0,0,0,12,27,8,0,8,7,9,20,48,37,45,80,70
"Block Group 2, Census Tract 403",408,9,33,0,31,27,0,9,0,22,54,0,99,61,20,19,24
"Block Group 3, Census Tract 403",283,0,10,0,10,0,5,24,0,0,13,34,44,62,25,34,22
"Block Group 1, Census Tract 404.01",332,0,0,8,41,11,16,0,8,9,7,9,27,65,32,21,78
"Block Group 2, Census Tract 404.01",265,7,11,0,0,8,16,0,0,14,9,10,53,17,49,23,48
"Block Group 3, Census Tract 404.01",329,12,0,0,0,63,0,1,0,44,0,41,103,21,17,7,20
"Block Group 4, Census Tract 404.01",416,0,0,8,4,32,24,10,21,0,37,35,58,50,8,33,96
"Block Group 1, Census Tract 404.02",258,0,0,0,0,0,14,47,27,10,29,0,26,0,14,47,44
"Block Group 2, Census Tract 404.02",319,17,13,17,0,15,0,15,34,0,15,42,29,48,45,14,15
"Block Group 3, Census Tract 404.02",721,30,0,19,12,33,0,0,18,14,47,52,105,74,107,94,116
"Block Group 4, Census Tract 404.02",326,29,0,16,13,0,0,16,0,0,64,14,11,0,31,59,73
"Block Group 5, Census Tract 404.02",922,0,0,55,16,52,117,32,59,43,102,61,49,54,92,120,70
"Block Group 1, Census Tract 406",255,15,0,0,0,0,0,0,8,0,43,19,104,11,8,0,47
"Block Group 2, Census Tract 406",433,0,7,8,45,15,8,0,26,8,76,37,47,52,26,24,54
"Block Group 3, Census Tract 406",443,28,0,10,0,9,0,10,10,10,34,53,110,53,57,28,31
"Block Group 1, Census Tract 407",402,7,12,0,21,0,0,16,33,33,14,35,98,46,51,36,0
"Block Group 2, Census Tract 407",447,20,0,39,8,19,35,22,21,54,14,42,55,10,30,12,66
"Block Group 3, Census Tract 407",315,0,0,5,0,0,11,2,8,13,9,38,67,31,27,40,64
"Block Group 4, Census Tract 407",400,51,0,8,7,21,8,0,7,0,40,73,46,39,17,46,37
"Block Group 1, Census Tract 408",404,0,0,0,5,34,8,23,34,5,20,32,72,71,49,23,28
"Block Group 2, Census Tract 408",403,11,14,16,0,0,38,19,6,9,41,61,47,25,18,30,68
"Block Group 1, Census Tract 409",650,24,10,52,49,52,15,10,19,51,65,42,72,22,43,43,81
"Block Group 2, Census Tract 409",313,0,0,0,8,34,0,18,0,0,16,11,43,17,54,60,52
"Block Group 1, Census Tract 501",413,33,0,11,0,12,12,29,0,21,0,34,73,72,23,40,53
"Block Group 2, Census Tract 501",719,0,10,10,28,0,11,12,34,0,0,30,99,139,59,122,165
"Block Group 1, Census Tract 502",449,0,0,29,0,0,27,12,29,0,0,25,87,38,17,42,143
"Block Group 2, Census Tract 502",890,26,17,7,41,25,51,15,16,29,68,80,69,81,103,31,231
"Block Group 3, Census Tract 502",867,17,39,27,90,42,23,31,36,34,12,124,75,83,33,10,191
"Block Group 1, Census Tract 503",395,53,0,0,14,0,29,40,0,8,16,20,77,40,0,46,52
"Block Group 2, Census Tract 503",329,0,0,0,0,0,0,13,18,26,11,37,43,61,32,14,74
"Block Group 3, Census Tract 503",371,10,0,0,24,8,8,0,0,0,32,78,49,67,8,44,43
"Block Group 1, Census Tract 505",430,10,0,14,0,0,0,0,0,16,0,0,68,37,62,42,181
"Block Group 2, Census Tract 505",612,0,0,0,0,0,0,0,15,0,0,36,150,113,45,80,173
"Block Group 3, Census Tract 505",384,0,0,0,0,19,0,0,0,0,62,0,19,62,52,89,81
"Block Group 4, Census Tract 505",413,0,14,0,18,0,0,14,0,8,48,0,117,29,18,47,100
"Block Group 5, Census Tract 505",276,0,0,0,15,0,0,0,0,0,0,46,38,33,0,35,109
"Block Group 1, Census Tract 506",664,0,21,0,15,11,6,0,0,20,72,29,128,110,36,77,139
"Block Group 2, Census Tract 506",428,19,9,0,0,9,9,6,3,18,39,42,45,37,58,13,121
"Block Group 1, Census Tract 507",680,26,0,6,12,12,37,5,0,0,21,71,77,74,87,103,149
"Block Group 1, Census Tract 508",608,16,15,6,6,36,5,7,12,28,38,47,29,74,43,52,194
"Block Group 1, Census Tract 509",540,11,12,14,10,22,0,20,40,0,27,77,63,36,60,71,77
"Block Group 1, Census Tract 510",714,46,6,15,17,6,5,25,20,12,34,45,101,50,58,115,159
"Block Group 1, Census Tract 511",605,5,27,11,11,0,27,21,6,17,20,42,71,10,60,71,206
"Block Group 1, Census Tract 512",313,0,0,10,6,6,0,19,15,5,17,12,30,44,38,45,66
"Block Group 2, Census Tract 512",283,0,6,0,0,0,0,0,0,0,0,0,37,75,29,49,87
"Block Group 1, Census Tract 513",443,0,9,8,15,0,0,0,0,0,0,8,88,14,55,43,203
"Block Group 2, Census Tract 513",671,0,0,0,9,11,0,10,0,0,9,25,115,27,69,164,232
"Block Group 1, Census Tract 514",424,10,9,16,8,9,0,6,13,9,12,34,26,52,34,53,133
"Block Group 2, Census Tract 514",354,11,3,12,13,11,0,20,0,6,16,32,43,45,54,36,52
"Block Group 1, Census Tract 601",409,0,0,0,8,26,0,18,6,26,39,48,57,18,18,16,129
"Block Group 2, Census Tract 601",460,0,0,26,16,0,8,10,10,7,31,43,121,48,26,33,81
"Block Group 3, Census Tract 601",365,27,9,0,0,21,0,17,0,0,35,12,41,71,45,35,52
"Block Group 1, Census Tract 602",699,28,0,38,0,63,24,21,0,3,76,128,97,80,55,27,59
"Block Group 2, Census Tract 602",422,8,30,6,33,33,17,0,19,0,25,15,58,57,20,35,66
"Block Group 1, Census Tract 603",653,9,0,0,0,0,0,7,12,11,16,62,82,74,57,171,152
"Block Group 2, Census Tract 603",674,5,0,0,0,0,74,36,12,26,11,0,130,98,38,74,170
"Block Group 1, Census Tract 604",805,0,12,0,0,16,31,8,29,24,50,135,95,60,64,77,204
"Block Group 2, Census Tract 604",330,15,20,6,5,0,0,9,0,9,16,33,40,47,8,40,82
"Block Group 3, Census Tract 604",413,0,0,0,0,20,0,9,0,20,5,25,17,29,42,147,99
"Block Group 1, Census Tract 605",754,115,138,21,41,40,30,7,15,29,30,24,63,21,36,24,120
"Block Group 1, Census Tract 608",938,0,47,0,16,0,12,29,0,17,97,49,268,141,102,60,100
"Block Group 2, Census Tract 608",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 608",2125,92,31,39,40,32,54,71,135,116,172,169,371,299,108,209,187
"Block Group 1, Census Tract 609",898,0,81,33,0,26,42,51,30,0,72,232,123,93,51,30,34
"Block Group 2, Census Tract 609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 3, Census Tract 609",831,25,0,23,78,22,129,0,77,0,72,87,154,50,30,0,84
"Block Group 4, Census Tract 609",2456,141,31,120,41,144,37,134,146,26,294,136,343,330,267,54,212
"Block Group 5, Census Tract 609",495,0,0,0,126,0,0,110,0,29,203,0,0,0,0,0,27
"Block Group 1, Census Tract 610",1074,63,9,30,17,21,17,16,4,20,40,76,95,178,90,197,201
"Block Group 1, Census Tract 611",602,5,0,12,3,0,0,0,28,26,60,57,84,78,33,82,134
"Block Group 1, Census Tract 612",781,19,0,25,9,12,39,18,22,15,42,66,85,89,82,62,196
"Block Group 1, Census Tract 615",808,23,28,13,4,9,4,16,14,30,44,59,61,99,87,136,181
"Block Group 1, Census Tract 618",697,58,18,12,11,6,48,32,24,23,41,82,149,113,36,33,11
"Block Group 1, Census Tract 619.01",469,50,0,16,0,0,15,0,18,14,45,77,112,41,13,68,0
"Block Group 2, Census Tract 619.01",566,109,0,0,14,0,0,36,61,48,0,44,95,45,64,0,50
"Block Group 3, Census Tract 619.01",519,30,12,0,0,55,25,0,57,22,29,33,50,74,29,26,77
"Block Group 4, Census Tract 619.01",640,32,49,107,17,56,15,0,25,83,49,38,50,12,19,17,71
"Block Group 1, Census Tract 619.02",770,47,17,73,0,0,0,21,62,27,184,18,68,30,80,38,105
"Block Group 2, Census Tract 619.02",1051,88,54,79,0,69,52,35,73,45,39,114,125,20,28,73,157
"Block Group 3, Census Tract 619.02",1054,20,0,49,12,0,43,39,19,41,179,100,184,84,89,116,79
"Block Group 4, Census Tract 619.02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Block Group 1, Census Tract 620",1098,11,25,42,40,0,48,53,51,30,18,116,180,130,59,124,171
"Block Group 2, Census Tract 620",448,30,0,0,0,34,18,10,19,19,22,102,53,21,35,43,42
"Block Group 1, Census Tract 621",432,0,0,0,38,0,0,10,0,0,24,20,8,30,69,37,196
"Block Group 2, Census Tract 621",463,10,16,7,24,22,0,0,19,17,37,50,53,80,20,63,45
"Block Group 3, Census Tract 621",939,196,78,0,0,20,0,32,21,10,49,107,66,90,70,41,159
"Block Group 1, Census Tract 622",578,23,32,0,0,0,0,0,0,35,64,37,57,58,68,94,110
"Block Group 2, Census Tract 622",656,7,0,0,7,13,28,22,0,35,29,39,74,75,48,101,178
"Block Group 1, Census Tract 623",698,0,6,0,15,7,6,5,22,7,53,22,73,93,32,106,251
"Block Group 1, Census Tract 624",720,33,23,6,18,25,5,0,0,28,55,14,91,48,65,82,227
"Block Group 1, Census Tract 625",712,18,5,29,10,10,4,17,11,13,38,34,88,67,59,69,240
"Block Group 1, Census Tract 626",972,7,0,6,15,7,6,23,5,11,38,84,74,104,91,78,423
"Block Group 1, Census Tract 627",320,8,0,0,0,0,0,0,7,19,7,16,15,68,17,18,145
