area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 101",405,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,94,0,0,0,0,126,82,0,45
"Block Group 2, Census Tract 101",1048,38,0,0,0,0,0,0,0,0,0,0,0,2,143,50,161,7,79,134,101,233,100,0,0
"Block Group 3, Census Tract 101",1739,19,0,0,0,0,0,0,0,0,0,0,10,23,6,13,98,0,0,258,208,677,287,56,84
"Block Group 1, Census Tract 102.01",1321,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,133,124,297,108,117,338,19,38
"Block Group 2, Census Tract 102.01",948,79,0,0,0,0,0,0,0,0,0,72,10,0,47,0,149,18,16,167,0,275,51,64,0
"Block Group 3, Census Tract 102.01",1336,39,0,0,0,0,0,0,37,86,0,20,11,18,18,256,273,123,16,101,132,89,77,19,21
"Block Group 4, Census Tract 102.01",1273,38,0,0,0,0,0,8,8,0,0,0,20,14,41,19,229,70,18,155,107,236,220,70,20
"Block Group 1, Census Tract 102.02",1085,58,0,0,0,0,0,0,0,20,11,45,0,24,0,0,217,52,105,92,74,261,93,8,25
"Block Group 2, Census Tract 102.02",978,0,0,0,0,0,0,0,0,8,0,0,60,24,24,0,57,36,60,114,28,384,152,24,7
"Block Group 1, Census Tract 103",782,6,0,0,0,0,0,0,0,0,0,22,24,0,13,13,175,18,21,62,6,313,82,27,0
"Block Group 2, Census Tract 103",2175,6,0,0,0,0,0,0,0,155,0,28,42,15,17,6,284,101,35,386,122,552,338,49,39
"Block Group 3, Census Tract 103",1202,0,0,0,5,0,0,0,0,3,84,0,0,27,0,0,107,71,51,122,180,280,230,12,30
"Block Group 4, Census Tract 103",989,0,0,0,0,0,11,0,10,9,0,0,0,17,0,0,0,58,40,105,28,583,89,39,0
"Block Group 1, Census Tract 104",800,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,32,20,22,162,0,381,104,36,27
"Block Group 2, Census Tract 104",876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,37,116,57,386,182,0,0
"Block Group 3, Census Tract 104",986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,78,299,67,340,98,53,0
"Block Group 1, Census Tract 105.01",609,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,93,17,113,185,170,0,9
"Block Group 2, Census Tract 105.01",1144,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,54,61,168,61,81,516,125,22,51
"Block Group 3, Census Tract 105.01",1383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,103,205,34,604,314,0,52
"Block Group 1, Census Tract 105.02",952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,110,11,43,139,58,340,221,10,9
"Block Group 2, Census Tract 105.02",1202,0,0,0,0,0,0,0,0,0,0,0,0,0,35,21,129,9,31,59,55,458,278,12,115
"Block Group 1, Census Tract 105.03",960,89,0,0,0,0,0,0,4,0,19,0,23,21,6,25,197,31,82,87,52,168,117,31,8
"Block Group 2, Census Tract 105.03",333,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,59,9,15,24,37,72,108,0,1
"Block Group 1, Census Tract 106",1745,0,0,0,0,0,0,0,0,0,0,27,90,19,0,0,156,80,121,129,52,608,363,49,51
"Block Group 2, Census Tract 106",711,3,0,0,0,0,0,0,0,0,1,3,9,9,13,8,82,35,0,79,104,206,96,15,48
"Block Group 3, Census Tract 106",1390,21,0,0,0,0,0,0,0,0,0,9,0,0,0,0,122,29,141,38,54,630,209,22,115
"Block Group 4, Census Tract 106",845,24,0,0,0,0,0,22,0,0,0,0,0,0,0,0,70,0,25,7,7,493,127,46,24
"Block Group 1, Census Tract 107.01",1066,40,0,0,0,0,0,217,0,0,0,0,0,0,0,0,195,0,84,47,45,284,113,12,29
"Block Group 2, Census Tract 107.01",1664,118,0,0,0,0,0,0,0,0,0,16,7,13,0,0,180,40,133,127,170,528,283,26,23
"Block Group 1, Census Tract 107.02",929,38,0,0,0,0,0,78,0,0,0,0,58,0,0,84,134,16,134,146,0,154,77,10,0
"Block Group 2, Census Tract 107.02",445,0,0,0,0,0,0,0,40,49,0,43,0,0,2,11,57,0,0,8,0,104,113,0,18
"Block Group 3, Census Tract 107.02",817,57,0,0,0,0,0,0,0,0,0,11,0,0,0,30,42,46,65,43,38,319,120,12,34
"Block Group 4, Census Tract 107.02",856,70,0,0,0,0,0,12,0,60,0,59,0,0,23,0,153,0,4,97,181,174,23,0,0
"Block Group 1, Census Tract 201",1477,37,0,0,0,0,36,0,33,0,12,51,0,29,10,0,315,93,8,131,143,316,241,0,22
"Block Group 2, Census Tract 201",1537,0,0,0,0,19,0,0,0,42,41,10,0,8,43,15,248,106,70,286,136,420,58,10,25
"Block Group 1, Census Tract 202",772,17,0,0,0,0,0,0,0,0,0,0,0,0,12,0,84,0,22,40,89,196,222,58,32
"Block Group 2, Census Tract 202",782,5,0,0,0,0,0,0,0,97,0,158,0,0,11,7,223,32,67,34,0,81,49,18,0
"Block Group 3, Census Tract 202",1581,51,0,0,0,0,0,0,0,142,0,0,0,0,0,82,149,31,0,128,133,452,250,97,66
"Block Group 4, Census Tract 202",1139,76,0,0,0,0,0,0,0,0,0,19,0,0,0,0,75,30,0,131,94,454,196,48,16
"Block Group 1, Census Tract 203.01",1649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,311,57,173,147,155,536,189,35,30
"Block Group 2, Census Tract 203.01",1090,9,0,0,0,0,0,0,0,0,0,0,0,0,0,21,160,12,2,91,68,507,179,8,33
"Block Group 3, Census Tract 203.01",971,0,0,0,0,0,0,0,0,0,8,44,0,42,0,39,72,0,44,143,80,221,174,48,56
"Block Group 1, Census Tract 203.02",873,0,0,0,0,0,0,35,0,0,0,42,0,39,0,0,128,11,35,58,42,287,150,14,32
"Block Group 2, Census Tract 203.02",869,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,10,48,131,28,266,168,32,18
"Block Group 3, Census Tract 203.02",1667,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,326,64,45,313,82,457,255,72,29
"Block Group 1, Census Tract 204",878,10,0,0,0,0,0,0,0,0,0,0,0,0,0,30,267,14,153,63,0,253,71,10,7
"Block Group 2, Census Tract 204",863,33,0,0,0,0,10,0,0,14,0,2,18,0,1,20,66,11,16,28,67,372,154,30,21
"Block Group 3, Census Tract 204",1309,68,0,0,0,0,0,0,0,67,0,0,0,0,72,55,189,15,31,78,81,318,294,41,0
"Block Group 1, Census Tract 205",1964,113,0,0,0,0,5,0,0,0,0,91,0,20,1,45,453,149,28,326,158,384,120,71,0
"Block Group 2, Census Tract 205",912,0,0,0,0,94,0,0,0,0,0,0,0,29,0,0,272,0,17,87,52,192,150,19,0
"Block Group 3, Census Tract 205",935,52,0,0,0,5,79,0,0,98,0,0,25,0,25,111,68,98,68,96,62,108,21,19,0
"Block Group 4, Census Tract 205",744,22,0,0,0,0,0,0,0,0,0,0,26,0,54,0,180,70,0,252,15,75,50,0,0
"Block Group 1, Census Tract 206.01",724,0,0,0,0,0,13,0,0,0,0,0,26,0,0,0,17,1,163,105,0,230,96,23,50
"Block Group 2, Census Tract 206.01",2053,210,0,0,0,0,0,0,0,0,34,0,35,21,13,30,150,35,183,142,252,732,200,0,16
"Block Group 3, Census Tract 206.01",847,43,0,0,0,0,0,0,0,0,23,1,41,0,172,0,38,2,0,29,58,119,256,12,53
"Block Group 1, Census Tract 206.02",628,76,0,0,0,0,0,0,10,0,0,46,0,0,0,66,40,0,0,83,11,170,62,0,64
"Block Group 2, Census Tract 206.02",702,66,0,0,0,0,0,14,0,65,0,0,0,25,12,15,116,53,10,124,8,144,50,0,0
"Block Group 3, Census Tract 206.02",749,5,0,0,0,40,0,0,0,0,0,0,0,0,0,46,156,0,8,188,21,130,101,44,10
"Block Group 4, Census Tract 206.02",1327,0,0,0,0,0,0,0,0,0,0,0,1,13,0,3,33,1,42,133,0,929,160,0,12
"Block Group 1, Census Tract 207.01",811,8,0,0,0,0,0,20,1,0,0,19,10,3,20,18,69,9,17,44,38,209,230,80,16
"Block Group 2, Census Tract 207.01",532,29,0,0,0,0,0,0,0,0,0,2,0,0,0,5,59,6,37,77,21,162,86,27,21
"Block Group 1, Census Tract 207.02",1108,82,0,0,0,12,17,0,0,0,0,57,0,0,0,0,339,39,0,82,74,150,108,96,52
"Block Group 2, Census Tract 207.02",1594,61,0,0,16,0,16,0,5,58,0,219,37,19,0,49,518,25,111,117,83,122,115,10,13
"Block Group 3, Census Tract 207.02",1338,128,0,0,0,0,21,0,0,56,0,10,0,19,4,152,247,11,57,87,17,332,134,0,63
"Block Group 4, Census Tract 207.02",1021,0,0,0,0,16,0,0,0,0,0,55,0,0,0,56,171,0,0,355,74,236,58,0,0
"Block Group 1, Census Tract 208.01",734,0,0,0,0,0,35,0,0,0,0,0,41,0,0,34,155,49,14,119,47,144,78,13,5
"Block Group 2, Census Tract 208.01",1176,0,0,0,0,0,0,0,0,0,18,0,10,0,0,61,190,147,19,224,17,352,108,30,0
"Block Group 3, Census Tract 208.01",1091,64,0,0,0,0,0,0,0,0,0,0,33,37,0,0,360,0,16,125,126,173,155,2,0
"Block Group 4, Census Tract 208.01",1328,89,0,0,0,0,12,0,0,0,0,25,0,64,0,42,327,191,42,140,74,244,40,28,10
"Block Group 1, Census Tract 208.02",1012,28,0,0,0,0,0,0,0,0,0,0,0,42,44,0,244,25,54,170,0,266,93,35,11
"Block Group 2, Census Tract 208.02",1533,69,0,0,0,0,0,0,40,0,0,0,0,0,0,26,323,95,25,94,117,479,265,0,0
"Block Group 3, Census Tract 208.02",1556,39,0,0,0,0,0,78,0,0,39,0,297,80,142,128,165,16,89,116,113,144,110,0,0
"Block Group 4, Census Tract 208.02",856,36,0,0,0,0,52,58,0,94,0,44,0,14,0,0,103,31,5,105,31,236,47,0,0
"Block Group 1, Census Tract 209.01",1642,47,0,0,101,0,0,0,28,20,0,33,32,68,60,38,168,39,55,166,142,427,168,0,50
"Block Group 2, Census Tract 209.01",589,0,0,0,0,0,0,46,0,0,0,0,0,20,6,11,139,31,36,54,50,135,61,0,0
"Block Group 3, Census Tract 209.01",1774,84,0,0,0,20,19,0,0,100,0,0,0,24,16,107,414,23,144,251,52,267,202,24,27
"Block Group 1, Census Tract 209.02",1889,152,0,0,10,0,0,0,0,0,14,64,0,20,0,11,535,117,77,296,80,350,96,28,39
"Block Group 2, Census Tract 209.02",1301,89,3,0,0,0,0,0,0,28,0,21,0,54,0,0,387,27,39,116,82,285,151,10,9
"Block Group 1, Census Tract 301.01",562,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,109,63,52,38,101,16,0,0
"Block Group 2, Census Tract 301.01",460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,137,27,179,59,0,13
"Block Group 3, Census Tract 301.01",1000,10,0,0,0,0,0,0,0,0,27,3,0,38,12,22,124,2,17,171,184,268,68,54,0
"Block Group 4, Census Tract 301.01",844,14,0,0,0,0,0,0,0,0,0,0,0,0,0,41,114,0,42,126,106,213,146,7,35
"Block Group 1, Census Tract 301.02",744,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,35,52,10,35,51,228,279,25,20
"Block Group 2, Census Tract 301.02",827,0,0,0,0,0,0,0,0,56,0,0,0,5,0,18,173,10,38,147,58,266,46,10,0
"Block Group 3, Census Tract 301.02",885,8,0,0,0,0,0,0,0,0,0,0,0,0,117,164,19,0,32,63,45,238,125,45,29
"Block Group 1, Census Tract 301.03",489,0,0,0,0,0,0,0,35,0,0,26,0,7,0,41,60,31,6,44,7,120,83,25,4
"Block Group 2, Census Tract 301.03",811,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,61,9,9,151,69,353,98,56,0
"Block Group 1, Census Tract 301.04",908,14,0,0,0,0,0,0,0,0,0,21,0,0,4,31,55,0,69,145,20,206,229,49,65
"Block Group 2, Census Tract 301.04",266,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,56,0,0,72,0,70,52,0,0
"Block Group 1, Census Tract 302",949,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,40,23,74,100,57,424,117,69,5
"Block Group 2, Census Tract 302",864,106,0,0,0,0,0,0,0,25,0,0,0,0,0,39,65,8,0,136,12,226,143,48,56
"Block Group 3, Census Tract 302",771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,41,33,46,274,186,90,87
"Block Group 4, Census Tract 302",1642,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,407,2,2,73,21,547,266,210,89
"Block Group 1, Census Tract 303",1145,13,0,0,0,0,0,0,0,0,0,43,0,0,27,23,221,35,86,125,101,271,183,10,7
"Block Group 2, Census Tract 303",1415,0,0,0,0,23,0,0,0,11,0,0,7,0,85,50,458,0,24,136,13,385,97,126,0
"Block Group 1, Census Tract 304",1166,27,0,0,0,0,0,0,0,0,0,0,0,0,21,12,231,0,18,165,80,253,296,40,23
"Block Group 2, Census Tract 304",1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,11,11,131,82,347,161,34,68
"Block Group 1, Census Tract 305",1344,47,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,151,83,550,374,46,46
"Block Group 2, Census Tract 305",1456,4,0,0,0,5,0,0,0,0,5,5,0,5,0,46,155,44,63,32,0,579,413,41,59
"Block Group 3, Census Tract 305",1018,0,0,0,0,0,0,0,0,0,0,6,0,0,0,14,121,17,88,50,79,368,173,70,32
