area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 101",389,0,0,0,0,0,0,0,0,19,0,0,18,0,0,65,17,22,32,55,0,35,110,0,16
"Block Group 2, Census Tract 101",1453,17,0,0,9,0,0,0,0,0,0,0,0,64,130,24,316,57,125,99,71,386,124,10,21
"Block Group 3, Census Tract 101",1400,11,0,0,0,0,0,0,0,0,0,0,0,7,16,0,161,14,75,235,28,531,155,104,63
"Block Group 1, Census Tract 102.01",1199,29,0,0,0,0,0,0,0,0,0,71,0,23,27,0,227,40,40,151,105,218,268,0,0
"Block Group 2, Census Tract 102.01",2750,0,0,0,0,0,67,0,29,105,30,15,113,40,148,0,574,165,111,380,130,543,217,26,57
"Block Group 3, Census Tract 102.01",1089,59,0,0,0,0,0,0,0,0,0,130,57,0,48,0,171,87,86,126,30,209,86,0,0
"Block Group 1, Census Tract 102.02",1017,91,0,0,0,0,0,0,0,29,0,75,0,23,0,6,208,89,43,125,109,160,43,8,8
"Block Group 2, Census Tract 102.02",986,35,0,0,0,10,0,0,0,8,0,13,43,39,43,5,122,0,11,145,69,257,94,62,30
"Block Group 1, Census Tract 103",856,0,0,0,0,0,0,0,0,0,0,9,30,0,19,29,190,20,35,91,39,225,102,67,0
"Block Group 2, Census Tract 103",1961,17,0,0,0,0,0,5,4,4,0,5,5,21,65,32,579,83,69,231,102,403,303,1,32
"Block Group 3, Census Tract 103",1215,7,0,0,0,0,0,0,0,2,0,7,0,30,0,7,197,128,63,236,79,224,195,40,0
"Block Group 4, Census Tract 103",1168,45,0,0,0,0,23,0,23,11,0,103,0,12,0,15,197,14,60,119,39,206,259,28,14
"Block Group 1, Census Tract 104",977,60,0,0,0,0,0,0,0,0,0,0,0,21,0,19,89,37,0,127,38,365,143,11,67
"Block Group 2, Census Tract 104",781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,43,9,93,50,398,78,20,0
"Block Group 3, Census Tract 104",891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,74,103,64,336,206,71,18
"Block Group 1, Census Tract 105.01",733,2,0,0,0,0,0,15,0,0,0,2,2,0,2,0,113,41,23,114,74,197,120,0,28
"Block Group 2, Census Tract 105.01",1539,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,230,147,33,243,27,491,291,25,34
"Block Group 3, Census Tract 105.01",1036,0,0,0,0,0,0,0,0,0,0,14,0,46,16,0,59,0,16,117,90,402,231,18,27
"Block Group 1, Census Tract 105.02",723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,111,0,35,131,27,235,129,19,18
"Block Group 2, Census Tract 105.02",1202,0,0,0,0,0,0,0,0,0,0,0,0,29,23,48,116,8,40,232,65,351,240,9,41
"Block Group 1, Census Tract 105.03",831,60,0,0,0,0,21,0,0,41,20,0,22,22,8,41,157,8,23,142,0,130,78,22,36
"Block Group 2, Census Tract 105.03",407,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,93,10,8,54,57,72,104,0,8
"Block Group 1, Census Tract 106",1299,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,65,67,93,105,41,425,362,28,46
"Block Group 2, Census Tract 106",475,2,0,0,0,0,0,8,0,0,0,16,11,13,0,2,58,36,84,58,0,81,58,0,48
"Block Group 3, Census Tract 106",1474,17,0,0,0,0,0,0,19,60,0,20,0,20,0,0,224,128,0,295,44,296,270,40,41
"Block Group 4, Census Tract 106",1226,0,0,0,0,53,0,20,0,50,0,0,0,0,54,0,105,0,0,174,128,412,157,35,38
"Block Group 1, Census Tract 107.01",1058,23,0,0,0,0,25,0,0,0,0,0,24,0,0,0,307,0,65,108,39,237,209,8,13
"Block Group 2, Census Tract 107.01",1638,35,0,0,0,0,0,0,25,20,0,0,0,0,0,46,253,93,65,178,91,510,258,53,11
"Block Group 1, Census Tract 107.02",1137,29,0,0,0,23,0,46,0,84,0,28,20,0,0,25,165,30,86,162,56,211,151,5,16
"Block Group 2, Census Tract 107.02",564,28,0,0,0,0,0,26,14,28,0,0,15,0,0,10,61,24,0,49,48,154,90,0,17
"Block Group 3, Census Tract 107.02",926,12,0,28,0,0,0,0,0,0,0,27,12,0,0,28,28,57,65,86,94,330,133,18,8
"Block Group 4, Census Tract 107.02",479,29,0,0,0,0,0,0,0,0,0,29,0,0,0,26,54,29,15,138,23,104,18,0,14
"Block Group 1, Census Tract 201",1584,109,0,0,0,0,53,0,37,25,0,44,0,41,0,34,254,87,0,206,85,342,233,13,21
"Block Group 2, Census Tract 201",1062,45,0,0,0,0,0,0,0,0,0,21,4,0,39,34,265,45,54,105,11,365,35,12,27
"Block Group 1, Census Tract 202",949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,15,37,121,311,321,68,29
"Block Group 2, Census Tract 202",941,67,0,0,0,0,0,0,0,0,16,16,0,6,83,74,172,29,85,132,0,78,168,15,0
"Block Group 3, Census Tract 202",1180,35,0,0,0,0,0,30,0,102,0,0,0,37,85,72,88,0,40,101,63,408,73,46,0
"Block Group 4, Census Tract 202",1223,41,0,0,0,0,0,0,0,0,0,20,0,0,0,0,81,0,35,368,61,425,136,30,26
"Block Group 1, Census Tract 203.01",1379,27,0,0,0,0,0,0,0,0,9,0,0,19,0,30,257,19,58,146,90,482,184,13,45
"Block Group 2, Census Tract 203.01",1004,27,0,0,0,0,0,0,0,0,9,18,0,0,0,44,92,9,26,59,61,507,91,41,20
"Block Group 3, Census Tract 203.01",1083,0,0,0,0,0,0,0,0,0,9,30,0,55,21,35,133,10,9,124,26,400,156,41,34
"Block Group 1, Census Tract 203.02",1054,0,0,0,0,0,0,21,0,0,0,13,0,33,29,18,282,25,5,55,37,331,109,57,39
"Block Group 2, Census Tract 203.02",711,0,0,0,0,0,0,0,0,7,0,0,15,0,0,0,208,21,0,134,40,103,159,24,0
"Block Group 3, Census Tract 203.02",1773,23,0,0,0,0,0,0,0,7,0,13,6,0,14,12,241,43,33,306,43,624,253,82,73
