area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 101",515,0,0,0,0,0,0,0,0,15,0,0,13,0,0,39,24,107,37,80,0,75,101,0,24
"Block Group 2, Census Tract 101",1116,0,0,0,8,0,0,0,0,0,29,0,0,61,134,0,254,16,124,162,75,128,101,0,24
"Block Group 3, Census Tract 101",1529,0,0,0,0,0,0,0,0,0,0,37,0,17,0,0,225,19,77,487,16,414,159,39,39
"Block Group 1, Census Tract 102.01",1025,31,0,0,0,0,0,0,0,0,0,18,0,28,38,0,109,60,109,141,54,242,188,0,7
"Block Group 2, Census Tract 102.01",3064,131,0,0,0,0,64,0,0,164,30,45,128,58,96,64,545,85,120,495,205,554,244,14,22
"Block Group 3, Census Tract 102.01",719,15,0,0,0,0,0,0,0,0,0,0,0,27,20,0,158,66,79,62,30,160,44,24,34
"Block Group 1, Census Tract 102.02",880,9,0,0,0,0,0,0,0,12,0,12,0,84,25,13,210,29,62,129,67,164,41,0,23
"Block Group 2, Census Tract 102.02",779,17,0,0,0,10,0,0,0,10,0,15,16,37,22,0,101,2,15,117,36,238,105,20,18
"Block Group 1, Census Tract 103",950,0,0,0,7,0,0,0,0,0,6,28,6,59,29,74,181,49,27,87,68,246,30,53,0
"Block Group 2, Census Tract 103",1697,61,0,0,0,15,10,10,5,15,0,14,12,21,82,19,361,62,155,175,106,260,252,14,48
"Block Group 3, Census Tract 103",1071,22,0,0,0,0,0,0,0,0,0,6,17,13,13,14,187,58,110,211,42,273,53,26,26
"Block Group 4, Census Tract 103",1284,0,0,0,0,0,42,0,41,0,0,59,0,83,0,67,178,14,118,124,29,261,195,63,10
"Block Group 1, Census Tract 104",1162,14,0,0,0,0,0,0,0,0,0,0,0,0,0,14,234,13,0,83,90,416,254,14,30
"Block Group 2, Census Tract 104",722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,34,20,45,47,288,145,14,0
"Block Group 3, Census Tract 104",912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,13,129,0,320,276,109,41
"Block Group 1, Census Tract 105.01",599,3,0,1,0,0,0,0,0,0,0,2,1,1,0,0,1,41,31,195,0,171,141,0,11
"Block Group 2, Census Tract 105.01",1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,175,123,30,213,27,377,256,32,0
"Block Group 3, Census Tract 105.01",1116,0,0,0,0,0,0,0,0,0,0,32,0,79,30,0,51,0,126,150,32,369,166,43,38
"Block Group 1, Census Tract 105.02",717,8,0,0,0,0,0,0,0,0,0,0,20,0,0,10,47,0,95,100,43,254,112,17,11
"Block Group 2, Census Tract 105.02",1103,0,0,0,0,0,0,0,0,0,0,9,0,22,8,19,78,19,55,240,98,314,196,20,25
"Block Group 1, Census Tract 105.03",1132,117,0,0,0,0,20,0,0,46,0,5,12,30,26,69,317,0,47,50,10,217,84,53,29
"Block Group 2, Census Tract 105.03",387,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,0,8,80,28,63,84,18,21
"Block Group 1, Census Tract 106",1892,62,0,0,0,0,55,0,0,0,0,0,0,0,24,0,407,17,101,156,154,556,285,50,25
"Block Group 2, Census Tract 106",617,19,0,0,0,0,0,66,0,0,0,10,16,0,20,12,88,11,70,35,5,128,122,0,15
"Block Group 3, Census Tract 106",1275,0,0,0,0,0,0,0,16,0,0,0,0,18,0,20,207,80,54,186,67,391,154,63,19
"Block Group 4, Census Tract 106",1011,0,0,0,0,54,0,0,0,66,0,0,0,49,0,22,112,0,0,117,145,290,132,15,9
"Block Group 1, Census Tract 107.01",1211,31,0,0,0,27,92,14,0,64,34,0,22,0,0,0,188,78,38,81,28,270,225,11,8
"Block Group 2, Census Tract 107.01",1470,12,0,0,12,8,0,0,22,79,0,6,0,5,14,41,271,0,68,168,50,440,198,41,35
"Block Group 1, Census Tract 107.02",1219,25,0,0,0,18,0,0,0,155,24,52,0,18,0,19,188,0,66,101,60,320,140,4,29
"Block Group 2, Census Tract 107.02",957,17,0,44,0,0,30,56,23,60,0,10,4,5,36,54,125,17,23,84,56,180,92,16,25
"Block Group 3, Census Tract 107.02",811,17,0,22,0,0,10,0,0,8,0,66,18,7,0,0,20,69,61,72,30,280,102,29,0
"Block Group 4, Census Tract 107.02",652,27,0,0,0,0,0,0,0,0,7,28,59,0,9,8,144,23,7,91,16,158,43,7,25
"Block Group 1, Census Tract 201",1639,34,0,0,0,0,11,22,0,11,58,0,0,69,61,30,241,0,0,428,106,363,162,21,22
"Block Group 2, Census Tract 201",1025,0,0,0,26,0,0,0,0,0,0,0,0,43,32,29,232,99,45,197,67,194,36,0,25
"Block Group 1, Census Tract 202",910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,48,0,48,94,58,294,277,34,45
"Block Group 2, Census Tract 202",1150,98,0,0,0,0,0,0,0,0,19,0,45,0,110,53,209,0,35,330,32,159,26,34,0
"Block Group 3, Census Tract 202",1146,0,0,0,0,0,0,29,0,0,0,0,0,36,65,0,163,34,76,65,101,390,153,15,19
"Block Group 4, Census Tract 202",1193,0,0,0,0,0,0,0,57,0,0,0,0,0,79,24,204,0,97,128,51,484,43,13,13
"Block Group 1, Census Tract 203.01",1377,35,0,0,0,0,0,0,0,38,7,12,0,27,39,23,245,0,77,121,49,385,180,60,79
"Block Group 2, Census Tract 203.01",963,11,0,0,0,0,0,0,0,0,8,25,14,8,0,33,155,0,20,66,81,349,102,68,23
"Block Group 3, Census Tract 203.01",1192,0,0,0,0,0,0,0,0,0,0,0,0,17,18,20,110,0,13,214,33,459,189,66,53
"Block Group 1, Census Tract 203.02",563,8,0,0,0,0,0,0,0,0,0,11,0,11,48,40,53,0,28,74,57,192,11,20,10
"Block Group 2, Census Tract 203.02",659,0,0,0,0,0,0,0,0,9,0,0,0,0,0,14,140,27,15,38,13,223,113,52,15
"Block Group 3, Census Tract 203.02",2213,77,0,0,7,0,0,0,0,7,0,19,6,64,12,10,363,26,53,143,83,763,443,65,72
"Block Group 1, Census Tract 204",618,0,0,0,0,20,0,0,0,0,0,0,19,0,8,48,99,27,23,70,14,142,101,47,0
"Block Group 2, Census Tract 204",1163,20,0,0,0,15,0,0,11,21,0,26,0,24,0,36,140,1,78,75,87,391,185,23,30
"Block Group 3, Census Tract 204",1283,73,0,0,0,0,0,0,0,16,0,13,0,0,22,0,391,11,29,147,22,327,168,34,30
"Block Group 1, Census Tract 205",1875,64,0,0,0,83,0,0,19,27,10,74,100,8,4,141,382,13,0,220,81,480,133,36,0
"Block Group 2, Census Tract 205",592,43,0,0,0,0,0,0,0,28,0,0,0,25,0,0,143,0,0,35,0,221,79,0,18
"Block Group 3, Census Tract 205",1091,55,0,0,0,0,0,0,12,67,56,125,28,43,89,24,268,12,20,63,57,65,83,13,11
"Block Group 4, Census Tract 205",686,0,0,0,55,0,0,0,0,0,0,0,0,42,0,23,165,82,0,57,0,224,19,19,0
"Block Group 1, Census Tract 206.01",1581,4,0,0,0,0,60,0,0,9,0,32,0,69,60,0,287,0,0,298,65,438,164,68,27
"Block Group 2, Census Tract 206.01",1665,155,0,15,0,0,0,0,68,0,5,12,0,86,8,15,625,19,56,234,60,227,14,30,36
"Block Group 3, Census Tract 206.01",716,0,0,0,0,0,0,0,0,0,0,3,0,0,0,28,140,0,72,77,0,195,191,0,10
"Block Group 1, Census Tract 206.02",786,0,0,0,0,0,0,7,0,5,0,9,0,18,55,0,160,0,70,87,35,302,32,0,6
"Block Group 2, Census Tract 206.02",635,0,0,0,0,0,0,19,21,0,19,29,0,46,18,26,69,17,16,97,61,107,77,0,13
