area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 3, Census Tract 203.02",1878,7,0,0,0,0,0,0,0,0,0,0,0,0,8,15,271,53,40,363,112,618,258,86,47
"Block Group 1, Census Tract 204",773,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,86,73,0,222,88,26,9
"Block Group 2, Census Tract 204",940,8,0,0,0,0,0,0,0,0,0,0,1,1,1,39,119,24,30,57,52,378,158,50,22
"Block Group 3, Census Tract 204",1323,78,0,0,0,0,0,0,0,17,0,0,0,10,71,79,109,45,50,101,53,413,225,61,11
"Block Group 1, Census Tract 205",1695,78,0,0,0,47,0,39,8,32,0,28,37,6,0,152,425,28,2,289,117,281,100,26,0
"Block Group 2, Census Tract 205",952,97,0,0,0,103,0,0,0,0,0,0,0,18,0,0,210,0,52,78,35,218,108,17,16
"Block Group 3, Census Tract 205",1311,53,0,0,0,3,91,0,21,189,20,10,40,4,67,151,139,129,83,146,32,89,44,0,0
"Block Group 4, Census Tract 205",512,0,0,0,0,0,0,0,0,0,0,0,20,38,20,0,65,13,0,173,12,110,45,16,0
"Block Group 1, Census Tract 206.01",1165,0,0,0,0,0,71,0,0,17,0,0,39,0,0,0,87,0,67,161,21,372,187,55,88
"Block Group 2, Census Tract 206.01",1832,60,0,19,0,0,0,0,77,0,20,12,0,23,26,0,215,42,145,138,58,771,193,0,33
"Block Group 3, Census Tract 206.01",548,27,0,0,0,0,0,0,0,0,0,3,0,0,58,20,11,3,0,26,71,135,130,14,50
"Block Group 1, Census Tract 206.02",693,45,0,0,0,0,0,0,0,0,0,8,0,54,11,41,71,0,67,42,21,288,13,0,32
"Block Group 2, Census Tract 206.02",511,0,0,0,0,0,0,18,0,82,0,28,0,58,12,0,93,31,0,99,0,67,23,0,0
"Block Group 3, Census Tract 206.02",896,28,0,0,0,0,0,0,0,0,0,0,0,0,38,12,79,0,50,217,25,223,180,33,11
"Block Group 4, Census Tract 206.02",1359,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77,1,23,134,0,921,149,0,53
"Block Group 1, Census Tract 207.01",737,6,0,0,0,0,0,7,0,0,0,13,7,0,21,11,93,0,3,35,26,194,258,46,17
"Block Group 2, Census Tract 207.01",597,21,0,0,0,0,0,0,5,6,0,0,0,0,6,1,93,6,24,118,34,181,82,15,5
