area_name,Total,No schooling completed,Nursery school,Kindergarten,1st grade,2nd grade,3rd grade,4th grade,5th grade,6th grade,7th grade,8th grade,9th grade,10th grade,11th grade,"12th grade, no diploma",Regular high school diploma,GED or alternative credential,"Some college, less than 1 year","Some college, 1 or more years, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree
"Block Group 1, Census Tract 101",400,0,0,0,0,0,0,0,0,17,0,0,16,0,0,56,14,21,48,73,0,34,105,0,16
"Block Group 2, Census Tract 101",1299,0,0,0,9,0,0,0,0,0,0,0,0,50,135,31,309,55,97,86,39,346,115,6,21
"Block Group 3, Census Tract 101",1464,0,0,0,0,0,0,0,0,0,0,0,0,12,14,0,99,35,123,302,39,536,211,37,56
"Block Group 1, Census Tract 102.01",1161,43,0,0,0,0,0,0,0,0,0,33,0,18,37,0,259,27,53,109,143,241,198,0,0
"Block Group 2, Census Tract 102.01",2821,31,0,0,0,0,72,0,28,192,28,0,101,51,142,8,606,127,168,370,140,509,185,25,38
"Block Group 3, Census Tract 102.01",902,18,0,0,0,0,0,0,0,0,0,81,49,0,42,0,102,81,97,97,26,197,87,25,0
"Block Group 1, Census Tract 102.02",1083,91,0,0,0,0,0,0,0,32,0,45,0,46,22,13,185,74,94,142,92,160,61,0,26
"Block Group 2, Census Tract 102.02",927,24,0,0,0,11,0,0,0,8,0,11,44,35,16,10,137,0,9,158,42,265,117,16,24
"Block Group 1, Census Tract 103",855,0,0,0,0,0,0,0,0,0,9,9,9,49,20,28,121,46,34,97,39,222,99,73,0
"Block Group 2, Census Tract 103",1913,67,0,0,0,0,0,10,4,4,0,0,5,12,81,34,586,77,81,228,102,323,267,1,31
"Block Group 3, Census Tract 103",1135,6,0,0,0,0,0,0,0,0,0,6,6,37,5,6,216,101,64,219,53,191,173,33,19
"Block Group 4, Census Tract 103",1322,46,0,0,0,0,19,0,19,0,0,82,0,13,0,16,190,34,81,171,23,293,255,68,12
"Block Group 1, Census Tract 104",1045,50,0,0,0,0,0,0,0,0,0,0,0,19,0,17,119,34,0,116,71,361,227,0,31
"Block Group 2, Census Tract 104",633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,32,2,77,32,332,50,16,0
"Block Group 3, Census Tract 104",926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,32,140,49,377,237,42,32
"Block Group 1, Census Tract 105.01",761,2,0,0,0,0,0,17,0,0,0,1,2,0,1,0,123,37,26,132,60,212,138,0,10
"Block Group 2, Census Tract 105.01",1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,273,113,31,280,27,430,290,47,17
"Block Group 3, Census Tract 105.01",1100,0,0,0,0,0,0,0,0,0,0,14,0,51,15,0,39,0,91,101,80,416,205,34,54
"Block Group 1, Census Tract 105.02",702,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,91,0,51,133,20,245,118,22,8
"Block Group 2, Census Tract 105.02",1174,0,0,0,0,0,0,0,0,0,0,0,0,25,8,59,89,13,48,210,74,399,219,9,21
"Block Group 1, Census Tract 105.03",829,52,0,0,0,0,17,0,0,44,21,0,0,25,8,32,181,8,56,112,0,141,69,38,25
"Block Group 2, Census Tract 105.03",334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72,9,0,47,42,62,91,0,10
"Block Group 1, Census Tract 106",1278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,53,48,182,36,573,256,34,22
