"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310206012","Block Group 2; Census Tract 206.01; Cook County; Illinois","1160","281","452","209","708","274",
"1500000US170310206013","Block Group 3; Census Tract 206.01; Cook County; Illinois","505","137","369","111","136","99",
"1500000US170310206021","Block Group 1; Census Tract 206.02; Cook County; Illinois","385","132","238","105","147","80",
"1500000US170310206022","Block Group 2; Census Tract 206.02; Cook County; Illinois","296","88","80","40","216","85",
"1500000US170310206023","Block Group 3; Census Tract 206.02; Cook County; Illinois","359","146","156","68","203","137",
"1500000US170310206024","Block Group 4; Census Tract 206.02; Cook County; Illinois","562","322","381","281","181","172",
"1500000US170310207011","Block Group 1; Census Tract 207.01; Cook County; Illinois","491","153","358","143","133","55",
"1500000US170310207012","Block Group 2; Census Tract 207.01; Cook County; Illinois","273","51","175","50","98","42",
"1500000US170310207021","Block Group 1; Census Tract 207.02; Cook County; Illinois","617","227","169","95","448","203",
"1500000US170310207022","Block Group 2; Census Tract 207.02; Cook County; Illinois","763","216","279","140","484","200",
"1500000US170310207023","Block Group 3; Census Tract 207.02; Cook County; Illinois","571","198","258","158","313","141",
"1500000US170310207024","Block Group 4; Census Tract 207.02; Cook County; Illinois","532","286","301","241","231","156",
"1500000US170310208011","Block Group 1; Census Tract 208.01; Cook County; Illinois","495","160","225","123","270","119",
"1500000US170310208012","Block Group 2; Census Tract 208.01; Cook County; Illinois","527","274","352","161","175","225",
"1500000US170310208013","Block Group 3; Census Tract 208.01; Cook County; Illinois","448","177","222","130","226","143",
"1500000US170310208014","Block Group 4; Census Tract 208.01; Cook County; Illinois","705","236","186","91","519","234",
"1500000US170310208021","Block Group 1; Census Tract 208.02; Cook County; Illinois","427","142","190","101","237","131",
"1500000US170310208022","Block Group 2; Census Tract 208.02; Cook County; Illinois","614","184","328","157","286","157",
"1500000US170310208023","Block Group 3; Census Tract 208.02; Cook County; Illinois","572","219","40","43","532","209",
"1500000US170310208024","Block Group 4; Census Tract 208.02; Cook County; Illinois","518","184","179","138","339","151",
"1500000US170310209011","Block Group 1; Census Tract 209.01; Cook County; Illinois","914","320","308","231","606","218",
"1500000US170310209012","Block Group 2; Census Tract 209.01; Cook County; Illinois","403","148","153","106","250","135",
