"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","248","69","97","52","151","61",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","947","183","39","43","908","190",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1121","177","372","118","749","166",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","676","132","268","113","408","112",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1513","161","359","109","1154","164",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","499","127","143","62","356","130",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","510","73","130","44","380","82",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","592","82","165","56","427","74",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","473","118","196","70","277","113",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","986","194","290","100","696","198",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","751","144","193","70","558","142",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","827","163","357","126","470","150",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","810","140","130","61","680","141",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","452","109","170","62","282","109",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","676","113","112","73","564","112",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","536","148","88","60","448","151",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1008","137","94","48","914","145",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","881","147","109","63","772","150",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","500","90","131","50","369","95",
