"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","284","94","102","66","182","87",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","939","173","55","59","884","174",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1025","186","207","93","818","175",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","659","142","223","94","436","119",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1599","143","352","115","1247","156",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","412","114","206","75","206","98",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","460","74","106","50","354","74",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","516","81","156","55","360","66",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","520","124","167","68","353","129",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","934","176","263","106","671","179",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","727","160","200","87","527","159",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","801","162","287","113","514","163",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","892","129","127","48","765","139",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","430","102","126","52","304","101",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","548","111","92","63","456","112",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","553","134","110","58","443","133",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","1030","145","129","81","901","158",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","765","153","44","42","721","147",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","529","105","138","57","391","89",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","976","113","141","49","835","116",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","731","108","133","57","598","112",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","318","83","67","41","251","72",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","942","171","315","106","627","173",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","228","105","117","74","111","95",
