"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1500000US170310207022","Block Group 2, Census Tract 207.02, Cook County, Illinois","822","159","291","127","531","174",
"1500000US170310207023","Block Group 3, Census Tract 207.02, Cook County, Illinois","526","152","137","82","389","138",
"1500000US170310207024","Block Group 4, Census Tract 207.02, Cook County, Illinois","229","107","40","48","189","89",
"1500000US170310208011","Block Group 1, Census Tract 208.01, Cook County, Illinois","697","126","388","119","309","120",
"1500000US170310208012","Block Group 2, Census Tract 208.01, Cook County, Illinois","245","74","212","74","33","37",
"1500000US170310208013","Block Group 3, Census Tract 208.01, Cook County, Illinois","475","102","127","71","348","112",
"1500000US170310208014","Block Group 4, Census Tract 208.01, Cook County, Illinois","796","138","284","120","512","148",
"1500000US170310208021","Block Group 1, Census Tract 208.02, Cook County, Illinois","488","142","261","120","227","107",
"1500000US170310208022","Block Group 2, Census Tract 208.02, Cook County, Illinois","575","180","198","88","377","163",
"1500000US170310208023","Block Group 3, Census Tract 208.02, Cook County, Illinois","859","190","91","76","768","177",
"1500000US170310208024","Block Group 4, Census Tract 208.02, Cook County, Illinois","393","119","160","82","233","101",
"1500000US170310209011","Block Group 1, Census Tract 209.01, Cook County, Illinois","812","131","288","89","524","120",
"1500000US170310209012","Block Group 2, Census Tract 209.01, Cook County, Illinois","327","99","89","47","238","96",
"1500000US170310209013","Block Group 3, Census Tract 209.01, Cook County, Illinois","811","122","263","106","548","119",
"1500000US170310209021","Block Group 1, Census Tract 209.02, Cook County, Illinois","909","115","516","110","393","112",
"1500000US170310209022","Block Group 2, Census Tract 209.02, Cook County, Illinois","740","125","370","84","370","117",
"1500000US170310301011","Block Group 1, Census Tract 301.01, Cook County, Illinois","431","114","13","21","418","110",
"1500000US170310301012","Block Group 2, Census Tract 301.01, Cook County, Illinois","309","99","102","49","207","104",
"1500000US170310301013","Block Group 3, Census Tract 301.01, Cook County, Illinois","623","166","55","49","568","159",
"1500000US170310301014","Block Group 4, Census Tract 301.01, Cook County, Illinois","672","131","557","137","115","84",
"1500000US170310301021","Block Group 1, Census Tract 301.02, Cook County, Illinois","643","92","481","83","162","70",
"1500000US170310301022","Block Group 2, Census Tract 301.02, Cook County, Illinois","747","120","16","19","731","122",
"1500000US170310301023","Block Group 3, Census Tract 301.02, Cook County, Illinois","474","105","165","66","309","94",
"1500000US170310301031","Block Group 1, Census Tract 301.03, Cook County, Illinois","326","79","116","64","210","55",
"1500000US170310301032","Block Group 2, Census Tract 301.03, Cook County, Illinois","559","93","113","52","446","84",
"1500000US170310301041","Block Group 1, Census Tract 301.04, Cook County, Illinois","796","90","416","78","380","90",
"1500000US170310301042","Block Group 2, Census Tract 301.04, Cook County, Illinois","254","64","7","10","247","62",
"1500000US170310302001","Block Group 1, Census Tract 302, Cook County, Illinois","748","146","297","101","451","125",
"1500000US170310302002","Block Group 2, Census Tract 302, Cook County, Illinois","741","121","425","107","316","86",
"1500000US170310302003","Block Group 3, Census Tract 302, Cook County, Illinois","416","113","299","81","117","90",
"1500000US170310302004","Block Group 4, Census Tract 302, Cook County, Illinois","705","151","291","89","414","143",
"1500000US170310303001","Block Group 1, Census Tract 303, Cook County, Illinois","739","94","236","64","503","101",
"1500000US170310303002","Block Group 2, Census Tract 303, Cook County, Illinois","774","90","223","68","551","100",
