"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Owner occupied","Margin of Error!!Total!!Owner occupied","Estimate!!Total!!Renter occupied","Margin of Error!!Total!!Renter occupied",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","312","102","99","59","213","93",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","833","171","39","65","794","175",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","1061","159","178","81","883","156",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","619","123","223","90","396","117",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","1673","148","395","116","1278","169",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","430","124","187","77","243","112",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","456","82","84","45","372","86",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","535","86","152","55","383","74",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","515","147","168","74","347","150",
"1500000US170310103002","Block Group 2, Census Tract 103, Cook County, Illinois","849","174","221","81","628","168",
"1500000US170310103003","Block Group 3, Census Tract 103, Cook County, Illinois","729","159","202","101","527","150",
"1500000US170310103004","Block Group 4, Census Tract 103, Cook County, Illinois","817","140","259","82","558","129",
"1500000US170310104001","Block Group 1, Census Tract 104, Cook County, Illinois","816","110","100","43","716","115",
"1500000US170310104002","Block Group 2, Census Tract 104, Cook County, Illinois","490","101","172","61","318","97",
"1500000US170310104003","Block Group 3, Census Tract 104, Cook County, Illinois","619","125","140","80","479","123",
"1500000US170310105011","Block Group 1, Census Tract 105.01, Cook County, Illinois","563","119","113","57","450","124",
"1500000US170310105012","Block Group 2, Census Tract 105.01, Cook County, Illinois","899","120","117","66","782","116",
"1500000US170310105013","Block Group 3, Census Tract 105.01, Cook County, Illinois","849","151","59","46","790","158",
"1500000US170310105021","Block Group 1, Census Tract 105.02, Cook County, Illinois","578","96","123","57","455","98",
"1500000US170310105022","Block Group 2, Census Tract 105.02, Cook County, Illinois","931","114","120","47","811","117",
"1500000US170310105031","Block Group 1, Census Tract 105.03, Cook County, Illinois","802","107","134","49","668","100",
"1500000US170310105032","Block Group 2, Census Tract 105.03, Cook County, Illinois","339","79","82","51","257","73",
"1500000US170310106001","Block Group 1, Census Tract 106, Cook County, Illinois","1142","182","333","98","809","198",
"1500000US170310106002","Block Group 2, Census Tract 106, Cook County, Illinois","249","109","138","77","111","89",
