"GEO_ID","NAME","B01003_001E","B01003_001M","POPGROUP","POPGROUP_LABEL",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Race/Ethnic Group","Population Groups",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","2794","194","001","Total population",
"1400000US17031242200","Census Tract 2422; Cook County; Illinois","870","397","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031802605","Census Tract 8026.05; Cook County; Illinois","7125","420","001","Total population",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","1026","120","003","White alone or in combination with one or more other races",
"1400000US17031190401","Census Tract 1904.01; Cook County; Illinois","2814","505","003","White alone or in combination with one or more other races",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","2317","178","001","Total population",
"1400000US17031150401","Census Tract 1504.01; Cook County; Illinois","4965","452","001","Total population",
"1400000US17031230600","Census Tract 2306; Cook County; Illinois","1310","345","003","White alone or in combination with one or more other races",
"1400000US17031672000","Census Tract 6720; Cook County; Illinois","3848","655","001","Total population",
"1400000US17031800600","Census Tract 8006; Cook County; Illinois","2501","165","003","White alone or in combination with one or more other races",
"1400000US17031210800","Census Tract 2108; Cook County; Illinois","604","155","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031828000","Census Tract 8280; Cook County; Illinois","1751","337","005","Black or African American alone or in combination with one or more other races",
"1400000US17031320400","Census Tract 3204; Cook County; Illinois","2143","305","003","White alone or in combination with one or more other races",
"1400000US17031822500","Census Tract 8225; Cook County; Illinois","4489","284","001","Total population",
"1400000US17031806600","Census Tract 8066; Cook County; Illinois","3478","289","001","Total population",
"1400000US17031801607","Census Tract 8016.07; Cook County; Illinois","5506","332","001","Total population",
"1400000US17031300600","Census Tract 3006; Cook County; Illinois","3420","358","001","Total population",
"1400000US17031806501","Census Tract 8065.01; Cook County; Illinois","2420","220","001","Total population",
"1400000US17031630800","Census Tract 6308; Cook County; Illinois","7702","638","001","Total population",
"1400000US17031804705","Census Tract 8047.05; Cook County; Illinois","764","213","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","2032","180","003","White alone or in combination with one or more other races",
"1400000US17031811302","Census Tract 8113.02; Cook County; Illinois","1730","367","003","White alone or in combination with one or more other races",
"1400000US17031808002","Census Tract 8080.02; Cook County; Illinois","4815","209","001","Total population",
"1400000US17031826800","Census Tract 8268; Cook County; Illinois","2058","573","005","Black or African American alone or in combination with one or more other races",
"1400000US17031430900","Census Tract 4309; Cook County; Illinois","1411","175","001","Total population",
"1400000US17031804511","Census Tract 8045.11; Cook County; Illinois","837","193","003","White alone or in combination with one or more other races",
"1400000US17031580501","Census Tract 5805.01; Cook County; Illinois","3337","558","003","White alone or in combination with one or more other races",
"1400000US17031351100","Census Tract 3511; Cook County; Illinois","1902","255","005","Black or African American alone or in combination with one or more other races",
"1400000US17031440800","Census Tract 4408; Cook County; Illinois","1599","237","005","Black or African American alone or in combination with one or more other races",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","5114","364","001","Total population",
"1400000US17031770601","Census Tract 7706.01; Cook County; Illinois","2567","379","003","White alone or in combination with one or more other races",
"1400000US17031140302","Census Tract 1403.02; Cook County; Illinois","2419","507","003","White alone or in combination with one or more other races",
"1400000US17031580502","Census Tract 5805.02; Cook County; Illinois","3194","695","003","White alone or in combination with one or more other races",
"1400000US17031830001","Census Tract 8300.01; Cook County; Illinois","1991","275","003","White alone or in combination with one or more other races",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","2178","235","003","White alone or in combination with one or more other races",
"1400000US17031823702","Census Tract 8237.02; Cook County; Illinois","5654","474","003","White alone or in combination with one or more other races",
"1400000US17031822801","Census Tract 8228.01; Cook County; Illinois","2811","315","003","White alone or in combination with one or more other races",
"1400000US17031681400","Census Tract 6814; Cook County; Illinois","2624","430","005","Black or African American alone or in combination with one or more other races",
"1400000US17031823806","Census Tract 8238.06; Cook County; Illinois","3581","192","001","Total population",
"1400000US17031828701","Census Tract 8287.01; Cook County; Illinois","2069","275","005","Black or African American alone or in combination with one or more other races",
"1400000US17031829100","Census Tract 8291; Cook County; Illinois","1359","410","003","White alone or in combination with one or more other races",
"1400000US17031804808","Census Tract 8048.08; Cook County; Illinois","2195","178","003","White alone or in combination with one or more other races",
"1400000US17031252102","Census Tract 2521.02; Cook County; Illinois","6358","931","001","Total population",
"1400000US17031809100","Census Tract 8091; Cook County; Illinois","3343","214","001","Total population",
"1400000US17031610300","Census Tract 6103; Cook County; Illinois","3911","675","003","White alone or in combination with one or more other races",
"1400000US17031190200","Census Tract 1902; Cook County; Illinois","4519","524","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031720700","Census Tract 7207; Cook County; Illinois","1266","239","003","White alone or in combination with one or more other races",
"1400000US17031750600","Census Tract 7506; Cook County; Illinois","3471","528","005","Black or African American alone or in combination with one or more other races",
"1400000US17031833300","Census Tract 8333; Cook County; Illinois","2634","245","001","Total population",
"1400000US17031827700","Census Tract 8277; Cook County; Illinois","2908","22","001","Total population",
"1400000US17031340500","Census Tract 3405; Cook County; Illinois","1629","167","001","Total population",
"1400000US17031520400","Census Tract 5204; Cook County; Illinois","3491","434","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031171000","Census Tract 1710; Cook County; Illinois","7843","647","001","Total population",
"1400000US17031251100","Census Tract 2511; Cook County; Illinois","4372","522","001","Total population",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","3266","316","001","Total population",
"1400000US17031550200","Census Tract 5502; Cook County; Illinois","1324","300","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","1729","157","003","White alone or in combination with one or more other races",
"1400000US17031150402","Census Tract 1504.02; Cook County; Illinois","3640","506","001","Total population",
"1400000US17031808001","Census Tract 8080.01; Cook County; Illinois","2482","271","003","White alone or in combination with one or more other races",
"1400000US17031770901","Census Tract 7709.01; Cook County; Illinois","5008","364","003","White alone or in combination with one or more other races",
"1400000US17031824800","Census Tract 8248; Cook County; Illinois","8155","495","001","Total population",
"1400000US17031580300","Census Tract 5803; Cook County; Illinois","2381","303","001","Total population",
"1400000US17031110400","Census Tract 1104; Cook County; Illinois","4455","307","001","Total population",
"1400000US17031580200","Census Tract 5802; Cook County; Illinois","2338","551","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031611700","Census Tract 6117; Cook County; Illinois","677","226","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031730600","Census Tract 7306; Cook County; Illinois","3276","439","005","Black or African American alone or in combination with one or more other races",
"1400000US17031280900","Census Tract 2809; Cook County; Illinois","729","149","005","Black or African American alone or in combination with one or more other races",
"1400000US17031816200","Census Tract 8162; Cook County; Illinois","3669","321","001","Total population",
"1400000US17031818700","Census Tract 8187; Cook County; Illinois","3633","179","001","Total population",
"1400000US17031151001","Census Tract 1510.01; Cook County; Illinois","1277","292","400","Hispanic or Latino (of any race) (200-299)",
"1400000US17031831600","Census Tract 8316; Cook County; Illinois","7187","860","001","Total population",
"1400000US17031801800","Census Tract 8018; Cook County; Illinois","5395","413","003","White alone or in combination with one or more other races",
"1400000US17031816401","Census Tract 8164.01; Cook County; Illinois","5428","476","001","Total population",
"1400000US17031823904","Census Tract 8239.04; Cook County; Illinois","4086","280","003","White alone or in combination with one or more other races",
"1400000US17031301600","Census Tract 3016; Cook County; Illinois","4722","557","001","Total population",
"1400000US17031200401","Census Tract 2004.01; Cook County; Illinois","1680","438","003","White alone or in combination with one or more other races",
