"GEO_ID","NAME","P2_001N","P2_002N","P2_003N","P2_004N","P2_005N","P2_006N","P2_007N","P2_008N","P2_009N","P2_010N","P2_011N","P2_012N","P2_013N","P2_014N","P2_015N","P2_016N","P2_017N","P2_018N","P2_019N","P2_020N","P2_021N","P2_022N","P2_023N","P2_024N","P2_025N","P2_026N","P2_027N","P2_028N","P2_029N","P2_030N","P2_031N","P2_032N","P2_033N","P2_034N","P2_035N","P2_036N","P2_037N","P2_038N","P2_039N","P2_040N","P2_041N","P2_042N","P2_043N","P2_044N","P2_045N","P2_046N","P2_047N","P2_048N","P2_049N","P2_050N","P2_051N","P2_052N","P2_053N","P2_054N","P2_055N","P2_056N","P2_057N","P2_058N","P2_059N","P2_060N","P2_061N","P2_062N","P2_063N","P2_064N","P2_065N","P2_066N","P2_067N","P2_068N","P2_069N","P2_070N","P2_071N","P2_072N","P2_073N",
"1500000US170311903001","Block Group 1, Census Tract 1903, Cook County, Illinois","1261","793","468","457","383","11","2","50","1","10","11","8","0","0","3","0","3","1","0","0","0","1","0","0","0","0","0","3","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311903002","Block Group 2, Census Tract 1903, Cook County, Illinois","1547","1071","476","463","405","29","4","18","0","7","13","11","2","2","6","0","0","0","0","1","0","0","0","0","0","0","0","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311903003","Block Group 3, Census Tract 1903, Cook County, Illinois","1700","1233","467","456","364","41","3","38","0","10","11","10","4","0","1","0","3","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311903004","Block Group 4, Census Tract 1903, Cook County, Illinois","1230","949","281","268","185","42","0","29","0","12","13","11","3","1","3","0","1","0","0","0","1","0","0","0","1","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311904011","Block Group 1, Census Tract 1904.01, Cook County, Illinois","1702","1030","672","654","517","33","0","95","0","9","18","14","5","4","1","0","2","0","2","0","0","0","0","0","0","0","0","4","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311904012","Block Group 2, Census Tract 1904.01, Cook County, Illinois","2623","1950","673","642","410","75","2","147","4","4","31","24","3","4","9","2","1","0","0","2","0","1","0","0","1","0","1","6","0","1","0","0","0","0","3","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311904021","Block Group 1, Census Tract 1904.02, Cook County, Illinois","2270","1513","757","733","573","80","0","76","0","4","24","21","5","1","8","1","5","0","0","0","0","0","0","0","0","1","0","3","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311904022","Block Group 2, Census Tract 1904.02, Cook County, Illinois","3024","2274","750","724","500","74","3","139","0","8","26","23","5","3","9","0","3","0","1","0","0","0","0","0","0","2","0","3","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906011","Block Group 1, Census Tract 1906.01, Cook County, Illinois","1116","873","243","237","173","48","2","7","0","7","6","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906012","Block Group 2, Census Tract 1906.01, Cook County, Illinois","1124","950","174","163","105","30","0","25","0","3","11","4","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","7","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906013","Block Group 3, Census Tract 1906.01, Cook County, Illinois","2142","1890","252","242","139","53","3","42","0","5","10","7","2","0","1","0","2","2","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906021","Block Group 1, Census Tract 1906.02, Cook County, Illinois","1352","1217","135","124","101","9","0","13","0","1","11","11","0","10","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906022","Block Group 2, Census Tract 1906.02, Cook County, Illinois","2112","1650","462","447","279","104","2","58","0","4","15","13","2","4","5","0","0","0","0","0","2","0","0","0","0","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311906023","Block Group 3, Census Tract 1906.02, Cook County, Illinois","1914","1692","222","211","153","36","0","16","1","5","11","11","4","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311907011","Block Group 1, Census Tract 1907.01, Cook County, Illinois","1735","1451","284","269","156","66","0","42","0","5","15","11","4","1","4","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311907012","Block Group 2, Census Tract 1907.01, Cook County, Illinois","1237","1039","198","178","127","35","1","12","1","2","20","19","3","5","4","0","3","0","2","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311907021","Block Group 1, Census Tract 1907.02, Cook County, Illinois","1426","1278","148","138","86","25","2","23","0","2","10","8","0","5","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311907022","Block Group 2, Census Tract 1907.02, Cook County, Illinois","1508","1277","231","227","128","79","0","19","0","1","4","3","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311907023","Block Group 3, Census Tract 1907.02, Cook County, Illinois","2018","1826","192","185","103","67","0","4","1","10","7","5","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311908001","Block Group 1, Census Tract 1908, Cook County, Illinois","977","796","181","177","126","17","2","27","0","5","4","3","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1500000US170311908002","Block Group 2, Census Tract 1908, Cook County, Illinois","1074","893","181","172","110","30","1","29","0","2","9","7","0","1","1","0","5","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
