"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170310103003","Block Group 3; Census Tract 103; Cook County; Illinois","195","136","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","29","0","12","0","12","79","90","97","86","0","12","0","12","0","12","0","12","0","12",
"1500000US170310103004","Block Group 4; Census Tract 103; Cook County; Illinois","277","126","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","0","12","56","71","121","98","0","12","52","40","23","42","0","12","0","12","14","22","0","12","0","12",
"1500000US170310104001","Block Group 1; Census Tract 104; Cook County; Illinois","167","93","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","45","71","0","12","0","12","40","64","40","45","0","12","42","43","0","12","0","12","0","12","0","12",
"1500000US170310104002","Block Group 2; Census Tract 104; Cook County; Illinois","285","134","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","78","92","95","64","37","60","16","26","41","65","0","12","0","12","0","12","18","29","0","12","0","12","0","12",
"1500000US170310104003","Block Group 3; Census Tract 104; Cook County; Illinois","138","79","14","23","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","30","0","12","0","12","0","12","0","12","17","26","55","52","0","12","0","12","0","12","0","12","33","39","0","12","0","12","0","12",
"1500000US170310105011","Block Group 1; Census Tract 105.01; Cook County; Illinois","70","64","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","13","20","14","24","30","55","0","12","0","12","13","19","0","12","0","12","0","12","0","12","0","12",
"1500000US170310105012","Block Group 2; Census Tract 105.01; Cook County; Illinois","150","82","17","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","68","56","0","12","11","19","0","12","15","24","17","26","22","35","0","12","0","12","0","12","0","12","0","12",
"1500000US170310105013","Block Group 3; Census Tract 105.01; Cook County; Illinois","160","78","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","20","24","3","12","58","59","79","62","0","12","0","12","0","12","0","12","0","12",
"1500000US170310105021","Block Group 1; Census Tract 105.02; Cook County; Illinois","152","63","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","19","22","92","49","10","15","31","29","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310105022","Block Group 2; Census Tract 105.02; Cook County; Illinois","255","110","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","2","4","21","23","32","29","25","23","92","82","10","15","29","44","34","52","0","12","0","12","0","12",
"1500000US170310105031","Block Group 1; Census Tract 105.03; Cook County; Illinois","109","43","7","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","6","0","12","8","14","0","12","8","12","46","20","13","20","23","19","0","12","0","12","0","12",
"1500000US170310105032","Block Group 2; Census Tract 105.03; Cook County; Illinois","82","70","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","42","61","18","30","0","12","0","12","14","16","8","13","0","12","0","12","0","12","0","12",
"1500000US170310106001","Block Group 1; Census Tract 106; Cook County; Illinois","332","133","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","34","42","83","65","46","51","18","29","20","34","89","111","0","12","34","31","8","14","0","12","0","12","0","12",
"1500000US170310106002","Block Group 2; Census Tract 106; Cook County; Illinois","273","185","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","78","90","0","12","0","12","0","12","16","26","0","12","10","16","169","153","0","12","0","12","0","12","0","12",
"1500000US170310106003","Block Group 3; Census Tract 106; Cook County; Illinois","325","172","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","8","0","12","0","12","104","162","72","74","33","48","41","48","51","60","19","31","0","12","0","12","0","12",
"1500000US170310106004","Block Group 4; Census Tract 106; Cook County; Illinois","188","93","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","5","9","61","58","24","39","18","28","50","59","0","12","30","46","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310107011","Block Group 1; Census Tract 107.01; Cook County; Illinois","289","91","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","15","84","65","0","12","0","12","31","36","19","22","65","41","34","34","9","15","0","12","0","12","37","53",
"1500000US170310107012","Block Group 2; Census Tract 107.01; Cook County; Illinois","555","112","22","34","0","12","0","12","0","12","0","12","0","12","0","12","0","12","4","6","0","12","0","12","0","12","13","21","11","22","16","18","38","44","29","26","24","26","64","70","123","74","95","66","116","64","0","12","0","12","0","12","0","12",
