"GEO_ID","NAME","POPGROUP","POPGROUP_LABEL","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Race/Ethnic Group","Population Groups","Estimate!!Total","Margin of Error!!Total",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","003","White alone or in combination with one or more other races","5641","1878",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","400","Hispanic or Latino (of any race)","2411","832",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","001","Total population","6025","1092",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","003","White alone or in combination with one or more other races","3974","710",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","400","Hispanic or Latino (of any race)","1633","546",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","001","Total population","8514","1582",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","003","White alone or in combination with one or more other races","3623","1209",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","001","Total population","6237","838",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","003","White alone or in combination with one or more other races","2735","676",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","1827","544",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","400","Hispanic or Latino (of any race)","1539","555",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","001","Total population","4517","597",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","003","White alone or in combination with one or more other races","2136","427",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","858","374",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","400","Hispanic or Latino (of any race)","751","305",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","001","Total population","3699","507",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","003","White alone or in combination with one or more other races","1894","406",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","001","Total population","3147","666",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","003","White alone or in combination with one or more other races","1635","259",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","001","Total population","2459","329",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","003","White alone or in combination with one or more other races","1529","273",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","001","Total population","3245","418",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","003","White alone or in combination with one or more other races","2256","335",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","001","Total population","5995","1139",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","003","White alone or in combination with one or more other races","5334","1083",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","001","Total population","3828","639",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","003","White alone or in combination with one or more other races","2238","524",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","400","Hispanic or Latino (of any race)","1084","489",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","001","Total population","2764","363",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","003","White alone or in combination with one or more other races","2268","385",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","001","Total population","6703","713",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","003","White alone or in combination with one or more other races","5853","775",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","001","Total population","3789","901",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","003","White alone or in combination with one or more other races","1979","427",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","001","Total population","2361","266",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","003","White alone or in combination with one or more other races","1475","266",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","001","Total population","3234","287",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","003","White alone or in combination with one or more other races","1996","257",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","001","Total population","1509","202",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","003","White alone or in combination with one or more other races","788","132",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","005","Black or African American alone or in combination with one or more other races","511","162",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","001","Total population","2323","398",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","003","White alone or in combination with one or more other races","1510","221",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","001","Total population","2995","367",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","003","White alone or in combination with one or more other races","2188","331",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","001","Total population","2720","344",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","003","White alone or in combination with one or more other races","1792","289",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","001","Total population","4164","502",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","003","White alone or in combination with one or more other races","3521","456",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","001","Total population","3149","332",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","003","White alone or in combination with one or more other races","2524","365",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","001","Total population","3830","523",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","003","White alone or in combination with one or more other races","3387","499",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","001","Total population","4685","610",
