geoid,Geographic Area Name,Total Population,White Population,Black Population,Hispanic Population,racial_population_list
1500000US170312503002,"Block Group 2, Census Tract 2503",1013,12,840,161,"[1013, 12, 840, 161]"
1500000US170312503003,"Block Group 3, Census Tract 2503",1623,37,1233,353,"[1623, 37, 1233, 353]"
1500000US170312503004,"Block Group 4, Census Tract 2503",680,4,594,82,"[680, 4, 594, 82]"
1500000US170312504001,"Block Group 1, Census Tract 2504",659,9,572,78,"[659, 9, 572, 78]"
1500000US170312504002,"Block Group 2, Census Tract 2504",1105,19,909,177,"[1105, 19, 909, 177]"
1500000US170312504003,"Block Group 3, Census Tract 2504",1378,9,1206,163,"[1378, 9, 1206, 163]"
1500000US170312504004,"Block Group 4, Census Tract 2504",1101,33,932,136,"[1101, 33, 932, 136]"
1500000US170312504005,"Block Group 5, Census Tract 2504",1618,54,1339,225,"[1618, 54, 1339, 225]"
1500000US170312505001,"Block Group 1, Census Tract 2505",1202,317,537,348,"[1202, 317, 537, 348]"
1500000US170312505002,"Block Group 2, Census Tract 2505",1410,356,806,248,"[1410, 356, 806, 248]"
1500000US170312505003,"Block Group 3, Census Tract 2505",874,465,240,169,"[874, 465, 240, 169]"
1500000US170312505004,"Block Group 4, Census Tract 2505",1054,466,305,283,"[1054, 466, 305, 283]"
1500000US170312505005,"Block Group 5, Census Tract 2505",751,385,165,201,"[751, 385, 165, 201]"
1500000US170312505006,"Block Group 6, Census Tract 2505",802,479,62,261,"[802, 479, 62, 261]"
1500000US170312505007,"Block Group 7, Census Tract 2505",1171,577,226,368,"[1171, 577, 226, 368]"
1500000US170312506001,"Block Group 1, Census Tract 2506",1005,10,874,121,"[1005, 10, 874, 121]"
1500000US170312506002,"Block Group 2, Census Tract 2506",1138,17,1018,103,"[1138, 17, 1018, 103]"
1500000US170312506003,"Block Group 3, Census Tract 2506",1220,32,1127,61,"[1220, 32, 1127, 61]"
1500000US170312506004,"Block Group 4, Census Tract 2506",1023,13,958,52,"[1023, 13, 958, 52]"
1500000US170312507001,"Block Group 1, Census Tract 2507",1238,6,1116,116,"[1238, 6, 1116, 116]"
1500000US170312507002,"Block Group 2, Census Tract 2507",1153,6,1127,20,"[1153, 6, 1127, 20]"
1500000US170312507003,"Block Group 3, Census Tract 2507",1041,14,982,45,"[1041, 14, 982, 45]"
1500000US170312507004,"Block Group 4, Census Tract 2507",1104,11,1023,70,"[1104, 11, 1023, 70]"
1500000US170312507005,"Block Group 5, Census Tract 2507",1538,23,1418,97,"[1538, 23, 1418, 97]"
1500000US170312508001,"Block Group 1, Census Tract 2508",1303,15,1090,198,"[1303, 15, 1090, 198]"
