geoid,Geographic Area Name,Total Population,White Population,Black Population,Hispanic Population,racial_population_list
1500000US170310101001,"Block Group 1, Census Tract 101",550,257,172,121,"[550, 257, 172, 121]"
1500000US170310101002,"Block Group 2, Census Tract 101",2247,377,1622,248,"[2247, 377, 1622, 248]"
1500000US170310101003,"Block Group 3, Census Tract 101",1850,958,645,247,"[1850, 958, 645, 247]"
1500000US170310102011,"Block Group 1, Census Tract 102.01",1308,395,578,335,"[1308, 395, 578, 335]"
1500000US170310102012,"Block Group 2, Census Tract 102.01",3657,860,1495,1302,"[3657, 860, 1495, 1302]"
1500000US170310102013,"Block Group 3, Census Tract 102.01",1064,380,272,412,"[1064, 380, 272, 412]"
1500000US170310102021,"Block Group 1, Census Tract 102.02",1208,406,425,377,"[1208, 406, 425, 377]"
1500000US170310102022,"Block Group 2, Census Tract 102.02",1426,485,529,412,"[1426, 485, 529, 412]"
1500000US170310103001,"Block Group 1, Census Tract 103",913,584,248,81,"[913, 584, 248, 81]"
1500000US170310103002,"Block Group 2, Census Tract 103",2097,1032,609,456,"[2097, 1032, 609, 456]"
1500000US170310103003,"Block Group 3, Census Tract 103",1487,772,519,196,"[1487, 772, 519, 196]"
1500000US170310103004,"Block Group 4, Census Tract 103",1337,560,341,436,"[1337, 560, 341, 436]"
1500000US170310104001,"Block Group 1, Census Tract 104",1307,849,325,133,"[1307, 849, 325, 133]"
1500000US170310104002,"Block Group 2, Census Tract 104",729,484,157,88,"[729, 484, 157, 88]"
1500000US170310104003,"Block Group 3, Census Tract 104",2385,1880,246,259,"[2385, 1880, 246, 259]"
1500000US170310105011,"Block Group 1, Census Tract 105.01",794,479,240,75,"[794, 479, 240, 75]"
1500000US170310105012,"Block Group 2, Census Tract 105.01",1621,667,736,218,"[1621, 667, 736, 218]"
1500000US170310105013,"Block Group 3, Census Tract 105.01",1234,703,318,213,"[1234, 703, 318, 213]"
1500000US170310105021,"Block Group 1, Census Tract 105.02",1236,767,306,163,"[1236, 767, 306, 163]"
1500000US170310105022,"Block Group 2, Census Tract 105.02",1602,978,447,177,"[1602, 978, 447, 177]"
1500000US170310105031,"Block Group 1, Census Tract 105.03",1195,856,172,167,"[1195, 856, 172, 167]"
1500000US170310105032,"Block Group 2, Census Tract 105.03",727,513,136,78,"[727, 513, 136, 78]"
1500000US170310106001,"Block Group 1, Census Tract 106",1789,938,575,276,"[1789, 938, 575, 276]"
1500000US170310106002,"Block Group 2, Census Tract 106",800,389,274,137,"[800, 389, 274, 137]"
1500000US170310106003,"Block Group 3, Census Tract 106",1781,1175,322,284,"[1781, 1175, 322, 284]"
1500000US170310106004,"Block Group 4, Census Tract 106",1352,549,347,456,"[1352, 549, 347, 456]"
1500000US170310107011,"Block Group 1, Census Tract 107.01",1545,558,294,693,"[1545, 558, 294, 693]"
1500000US170310107012,"Block Group 2, Census Tract 107.01",2085,862,453,770,"[2085, 862, 453, 770]"
1500000US170310107021,"Block Group 1, Census Tract 107.02",1490,410,375,705,"[1490, 410, 375, 705]"
1500000US170310107022,"Block Group 2, Census Tract 107.02",1041,201,168,672,"[1041, 201, 168, 672]"
1500000US170310107023,"Block Group 3, Census Tract 107.02",1445,407,278,760,"[1445, 407, 278, 760]"
1500000US170310107024,"Block Group 4, Census Tract 107.02",805,207,312,286,"[805, 207, 312, 286]"
1500000US170310201001,"Block Group 1, Census Tract 201",1998,760,602,636,"[1998, 760, 602, 636]"
1500000US170310201002,"Block Group 2, Census Tract 201",1320,440,564,316,"[1320, 440, 564, 316]"
1500000US170310202001,"Block Group 1, Census Tract 202",1498,1297,75,126,"[1498, 1297, 75, 126]"
1500000US170310202002,"Block Group 2, Census Tract 202",1094,625,144,325,"[1094, 625, 144, 325]"
1500000US170310202003,"Block Group 3, Census Tract 202",1247,907,91,249,"[1247, 907, 91, 249]"
1500000US170310202004,"Block Group 4, Census Tract 202",1412,875,294,243,"[1412, 875, 294, 243]"
1500000US170310203011,"Block Group 1, Census Tract 203.01",1449,1392,17,40,"[1449, 1392, 17, 40]"
1500000US170310203012,"Block Group 2, Census Tract 203.01",1041,923,51,67,"[1041, 923, 51, 67]"
1500000US170310203013,"Block Group 3, Census Tract 203.01",1752,1535,35,182,"[1752, 1535, 35, 182]"
1500000US170310203021,"Block Group 1, Census Tract 203.02",1170,727,138,305,"[1170, 727, 138, 305]"
1500000US170310203022,"Block Group 2, Census Tract 203.02",859,558,84,217,"[859, 558, 84, 217]"
1500000US170310203023,"Block Group 3, Census Tract 203.02",2084,1424,230,430,"[2084, 1424, 230, 430]"
1500000US170310204001,"Block Group 1, Census Tract 204",688,421,78,189,"[688, 421, 78, 189]"
1500000US170310204002,"Block Group 2, Census Tract 204",1334,736,272,326,"[1334, 736, 272, 326]"
1500000US170310204003,"Block Group 3, Census Tract 204",1581,744,365,472,"[1581, 744, 365, 472]"
1500000US170310205001,"Block Group 1, Census Tract 205",1816,648,591,577,"[1816, 648, 591, 577]"
1500000US170310205002,"Block Group 2, Census Tract 205",689,228,180,281,"[689, 228, 180, 281]"
1500000US170310205003,"Block Group 3, Census Tract 205",1120,510,244,366,"[1120, 510, 244, 366]"
1500000US170310205004,"Block Group 4, Census Tract 205",801,286,211,304,"[801, 286, 211, 304]"
1500000US170310206011,"Block Group 1, Census Tract 206.01",1536,1292,42,202,"[1536, 1292, 42, 202]"
1500000US170310206012,"Block Group 2, Census Tract 206.01",2269,1667,148,454,"[2269, 1667, 148, 454]"
1500000US170310206013,"Block Group 3, Census Tract 206.01",1125,659,112,354,"[1125, 659, 112, 354]"
1500000US170310206021,"Block Group 1, Census Tract 206.02",981,502,115,364,"[981, 502, 115, 364]"
1500000US170310206022,"Block Group 2, Census Tract 206.02",688,270,41,377,"[688, 270, 41, 377]"
1500000US170310206023,"Block Group 3, Census Tract 206.02",674,341,91,242,"[674, 341, 91, 242]"
1500000US170310206024,"Block Group 4, Census Tract 206.02",737,512,69,156,"[737, 512, 69, 156]"
1500000US170310207011,"Block Group 1, Census Tract 207.01",657,550,13,94,"[657, 550, 13, 94]"
1500000US170310207012,"Block Group 2, Census Tract 207.01",620,458,29,133,"[620, 458, 29, 133]"
1500000US170310207021,"Block Group 1, Census Tract 207.02",1272,891,153,228,"[1272, 891, 153, 228]"
1500000US170310207022,"Block Group 2, Census Tract 207.02",1735,1073,209,453,"[1735, 1073, 209, 453]"
1500000US170310207023,"Block Group 3, Census Tract 207.02",1281,823,148,310,"[1281, 823, 148, 310]"
1500000US170310207024,"Block Group 4, Census Tract 207.02",764,542,39,183,"[764, 542, 39, 183]"
1500000US170310208011,"Block Group 1, Census Tract 208.01",1317,633,144,540,"[1317, 633, 144, 540]"
1500000US170310208012,"Block Group 2, Census Tract 208.01",757,513,41,203,"[757, 513, 41, 203]"
1500000US170310208013,"Block Group 3, Census Tract 208.01",927,521,83,323,"[927, 521, 83, 323]"
1500000US170310208014,"Block Group 4, Census Tract 208.01",1236,723,112,401,"[1236, 723, 112, 401]"
1500000US170310208021,"Block Group 1, Census Tract 208.02",692,353,73,266,"[692, 353, 73, 266]"
1500000US170310208022,"Block Group 2, Census Tract 208.02",1237,530,247,460,"[1237, 530, 247, 460]"
1500000US170310208023,"Block Group 3, Census Tract 208.02",1373,499,269,605,"[1373, 499, 269, 605]"
1500000US170310208024,"Block Group 4, Census Tract 208.02",984,408,134,442,"[984, 408, 134, 442]"
1500000US170310209011,"Block Group 1, Census Tract 209.01",1323,531,373,419,"[1323, 531, 373, 419]"
1500000US170310209012,"Block Group 2, Census Tract 209.01",694,294,182,218,"[694, 294, 182, 218]"
1500000US170310209013,"Block Group 3, Census Tract 209.01",1940,572,479,889,"[1940, 572, 479, 889]"
1500000US170310209021,"Block Group 1, Census Tract 209.02",1660,1017,279,364,"[1660, 1017, 279, 364]"
1500000US170310209022,"Block Group 2, Census Tract 209.02",1453,793,290,370,"[1453, 793, 290, 370]"
1500000US170310301011,"Block Group 1, Census Tract 301.01",866,313,318,235,"[866, 313, 318, 235]"
1500000US170310301012,"Block Group 2, Census Tract 301.01",399,250,109,40,"[399, 250, 109, 40]"
1500000US170310301013,"Block Group 3, Census Tract 301.01",1024,456,422,146,"[1024, 456, 422, 146]"
1500000US170310301014,"Block Group 4, Census Tract 301.01",1071,811,137,123,"[1071, 811, 137, 123]"
1500000US170310301021,"Block Group 1, Census Tract 301.02",912,734,98,80,"[912, 734, 98, 80]"
1500000US170310301022,"Block Group 2, Census Tract 301.02",913,531,232,150,"[913, 531, 232, 150]"
1500000US170310301023,"Block Group 3, Census Tract 301.02",1016,519,380,117,"[1016, 519, 380, 117]"
1500000US170310301031,"Block Group 1, Census Tract 301.03",670,442,148,80,"[670, 442, 148, 80]"
1500000US170310301032,"Block Group 2, Census Tract 301.03",935,637,196,102,"[935, 637, 196, 102]"
1500000US170310301041,"Block Group 1, Census Tract 301.04",2377,1938,227,212,"[2377, 1938, 227, 212]"
1500000US170310301042,"Block Group 2, Census Tract 301.04",590,334,186,70,"[590, 334, 186, 70]"
1500000US170310302001,"Block Group 1, Census Tract 302",1618,1163,203,252,"[1618, 1163, 203, 252]"
1500000US170310302002,"Block Group 2, Census Tract 302",1225,1036,75,114,"[1225, 1036, 75, 114]"
1500000US170310302003,"Block Group 3, Census Tract 302",861,693,58,110,"[861, 693, 58, 110]"
1500000US170310302004,"Block Group 4, Census Tract 302",1188,804,117,267,"[1188, 804, 117, 267]"
1500000US170310303001,"Block Group 1, Census Tract 303",1444,585,238,621,"[1444, 585, 238, 621]"
1500000US170310303002,"Block Group 2, Census Tract 303",1415,633,184,598,"[1415, 633, 184, 598]"
1500000US170310304001,"Block Group 1, Census Tract 304",1237,738,134,365,"[1237, 738, 134, 365]"
1500000US170310304002,"Block Group 2, Census Tract 304",1154,614,53,487,"[1154, 614, 53, 487]"
1500000US170310305001,"Block Group 1, Census Tract 305",1108,820,91,197,"[1108, 820, 91, 197]"
1500000US170310305002,"Block Group 2, Census Tract 305",1793,994,207,592,"[1793, 994, 207, 592]"
1500000US170310305003,"Block Group 3, Census Tract 305",1549,925,147,477,"[1549, 925, 147, 477]"
1500000US170310305004,"Block Group 4, Census Tract 305",1412,966,86,360,"[1412, 966, 86, 360]"
1500000US170310306011,"Block Group 1, Census Tract 306.01",1101,422,457,222,"[1101, 422, 457, 222]"
1500000US170310306012,"Block Group 2, Census Tract 306.01",699,356,200,143,"[699, 356, 200, 143]"
1500000US170310306013,"Block Group 3, Census Tract 306.01",1753,1199,398,156,"[1753, 1199, 398, 156]"
1500000US170310306031,"Block Group 1, Census Tract 306.03",791,393,214,184,"[791, 393, 214, 184]"
1500000US170310306032,"Block Group 2, Census Tract 306.03",1119,456,400,263,"[1119, 456, 400, 263]"
1500000US170310306041,"Block Group 1, Census Tract 306.04",912,517,292,103,"[912, 517, 292, 103]"
1500000US170310306042,"Block Group 2, Census Tract 306.04",779,610,100,69,"[779, 610, 100, 69]"
1500000US170310306043,"Block Group 3, Census Tract 306.04",693,375,215,103,"[693, 375, 215, 103]"
1500000US170310307011,"Block Group 1, Census Tract 307.01",1413,741,405,267,"[1413, 741, 405, 267]"
1500000US170310307021,"Block Group 1, Census Tract 307.02",728,567,82,79,"[728, 567, 82, 79]"
1500000US170310307022,"Block Group 2, Census Tract 307.02",528,395,88,45,"[528, 395, 88, 45]"
1500000US170310307031,"Block Group 1, Census Tract 307.03",867,524,185,158,"[867, 524, 185, 158]"
1500000US170310307032,"Block Group 2, Census Tract 307.03",412,332,68,12,"[412, 332, 68, 12]"
1500000US170310307033,"Block Group 3, Census Tract 307.03",1253,753,317,183,"[1253, 753, 317, 183]"
1500000US170310307061,"Block Group 1, Census Tract 307.06",1921,1606,196,119,"[1921, 1606, 196, 119]"
1500000US170310307062,"Block Group 2, Census Tract 307.06",1199,623,308,268,"[1199, 623, 308, 268]"
1500000US170310308001,"Block Group 1, Census Tract 308",908,659,64,185,"[908, 659, 64, 185]"
1500000US170310308002,"Block Group 2, Census Tract 308",1095,858,104,133,"[1095, 858, 104, 133]"
1500000US170310308003,"Block Group 3, Census Tract 308",931,847,17,67,"[931, 847, 17, 67]"
1500000US170310308004,"Block Group 4, Census Tract 308",897,788,16,93,"[897, 788, 16, 93]"
1500000US170310309001,"Block Group 1, Census Tract 309",484,379,4,101,"[484, 379, 4, 101]"
1500000US170310309002,"Block Group 2, Census Tract 309",773,551,18,204,"[773, 551, 18, 204]"
1500000US170310309003,"Block Group 3, Census Tract 309",836,562,67,207,"[836, 562, 67, 207]"
1500000US170310309004,"Block Group 4, Census Tract 309",615,434,22,159,"[615, 434, 22, 159]"
1500000US170310310001,"Block Group 1, Census Tract 310",883,628,40,215,"[883, 628, 40, 215]"
1500000US170310310002,"Block Group 2, Census Tract 310",978,604,56,318,"[978, 604, 56, 318]"
1500000US170310310003,"Block Group 3, Census Tract 310",1506,1142,63,301,"[1506, 1142, 63, 301]"
1500000US170310311001,"Block Group 1, Census Tract 311",1497,1157,68,272,"[1497, 1157, 68, 272]"
1500000US170310311002,"Block Group 2, Census Tract 311",806,545,103,158,"[806, 545, 103, 158]"
1500000US170310311003,"Block Group 3, Census Tract 311",1316,1064,39,213,"[1316, 1064, 39, 213]"
1500000US170310312001,"Block Group 1, Census Tract 312",1305,731,348,226,"[1305, 731, 348, 226]"
1500000US170310312002,"Block Group 2, Census Tract 312",1142,470,562,110,"[1142, 470, 562, 110]"
1500000US170310312003,"Block Group 3, Census Tract 312",809,245,343,221,"[809, 245, 343, 221]"
1500000US170310312004,"Block Group 4, Census Tract 312",1222,512,415,295,"[1222, 512, 415, 295]"
1500000US170310313001,"Block Group 1, Census Tract 313",1297,834,262,201,"[1297, 834, 262, 201]"
1500000US170310313002,"Block Group 2, Census Tract 313",1084,749,212,123,"[1084, 749, 212, 123]"
1500000US170310313003,"Block Group 3, Census Tract 313",179,86,39,54,"[179, 86, 39, 54]"
1500000US170310313004,"Block Group 4, Census Tract 313",1875,923,807,145,"[1875, 923, 807, 145]"
1500000US170310313005,"Block Group 5, Census Tract 313",1125,776,187,162,"[1125, 776, 187, 162]"
1500000US170310314001,"Block Group 1, Census Tract 314",1229,1026,107,96,"[1229, 1026, 107, 96]"
1500000US170310314002,"Block Group 2, Census Tract 314",579,490,54,35,"[579, 490, 54, 35]"
1500000US170310314003,"Block Group 3, Census Tract 314",995,836,86,73,"[995, 836, 86, 73]"
1500000US170310314004,"Block Group 4, Census Tract 314",108,69,27,12,"[108, 69, 27, 12]"
1500000US170310314005,"Block Group 5, Census Tract 314",1036,895,73,68,"[1036, 895, 73, 68]"
1500000US170310314006,"Block Group 6, Census Tract 314",774,576,115,83,"[774, 576, 115, 83]"
1500000US170310315011,"Block Group 1, Census Tract 315.01",690,245,346,99,"[690, 245, 346, 99]"
1500000US170310315012,"Block Group 2, Census Tract 315.01",1521,744,447,330,"[1521, 744, 447, 330]"
1500000US170310315013,"Block Group 3, Census Tract 315.01",889,421,382,86,"[889, 421, 382, 86]"
1500000US170310315021,"Block Group 1, Census Tract 315.02",1392,768,367,257,"[1392, 768, 367, 257]"
1500000US170310315022,"Block Group 2, Census Tract 315.02",933,412,342,179,"[933, 412, 342, 179]"
1500000US170310315023,"Block Group 3, Census Tract 315.02",1637,240,1242,155,"[1637, 240, 1242, 155]"
1500000US170310317001,"Block Group 1, Census Tract 317",1890,1021,347,522,"[1890, 1021, 347, 522]"
1500000US170310317002,"Block Group 2, Census Tract 317",1572,900,361,311,"[1572, 900, 361, 311]"
1500000US170310317003,"Block Group 3, Census Tract 317",1505,793,514,198,"[1505, 793, 514, 198]"
1500000US170310317004,"Block Group 4, Census Tract 317",1206,791,247,168,"[1206, 791, 247, 168]"
1500000US170310318001,"Block Group 1, Census Tract 318",1684,1190,71,423,"[1684, 1190, 71, 423]"
1500000US170310319001,"Block Group 1, Census Tract 319",1037,839,67,131,"[1037, 839, 67, 131]"
1500000US170310319002,"Block Group 2, Census Tract 319",1133,835,87,211,"[1133, 835, 87, 211]"
1500000US170310321001,"Block Group 1, Census Tract 321",1588,1139,307,142,"[1588, 1139, 307, 142]"
1500000US170310321002,"Block Group 2, Census Tract 321",1093,841,107,145,"[1093, 841, 107, 145]"
1500000US170310321003,"Block Group 3, Census Tract 321",1643,1264,142,237,"[1643, 1264, 142, 237]"
1500000US170310321004,"Block Group 4, Census Tract 321",1378,667,565,146,"[1378, 667, 565, 146]"
1500000US170310321005,"Block Group 5, Census Tract 321",941,632,81,228,"[941, 632, 81, 228]"
1500000US170310401001,"Block Group 1, Census Tract 401",1236,803,109,324,"[1236, 803, 109, 324]"
1500000US170310401002,"Block Group 2, Census Tract 401",1433,897,49,487,"[1433, 897, 49, 487]"
1500000US170310401003,"Block Group 3, Census Tract 401",950,674,23,253,"[950, 674, 23, 253]"
1500000US170310402011,"Block Group 1, Census Tract 402.01",1160,853,36,271,"[1160, 853, 36, 271]"
1500000US170310402012,"Block Group 2, Census Tract 402.01",1389,907,53,429,"[1389, 907, 53, 429]"
1500000US170310402013,"Block Group 3, Census Tract 402.01",1387,1029,44,314,"[1387, 1029, 44, 314]"
1500000US170310402014,"Block Group 4, Census Tract 402.01",1581,1173,47,361,"[1581, 1173, 47, 361]"
1500000US170310402021,"Block Group 1, Census Tract 402.02",609,453,47,109,"[609, 453, 47, 109]"
1500000US170310402022,"Block Group 2, Census Tract 402.02",2096,1359,226,511,"[2096, 1359, 226, 511]"
1500000US170310402023,"Block Group 3, Census Tract 402.02",1066,734,43,289,"[1066, 734, 43, 289]"
1500000US170310402024,"Block Group 4, Census Tract 402.02",1811,1110,212,489,"[1811, 1110, 212, 489]"
1500000US170310403001,"Block Group 1, Census Tract 403",827,726,8,93,"[827, 726, 8, 93]"
1500000US170310403002,"Block Group 2, Census Tract 403",913,655,53,205,"[913, 655, 53, 205]"
1500000US170310403003,"Block Group 3, Census Tract 403",636,412,61,163,"[636, 412, 61, 163]"
1500000US170310404011,"Block Group 1, Census Tract 404.01",808,541,15,252,"[808, 541, 15, 252]"
1500000US170310404012,"Block Group 2, Census Tract 404.01",538,410,5,123,"[538, 410, 5, 123]"
1500000US170310404013,"Block Group 3, Census Tract 404.01",559,401,19,139,"[559, 401, 19, 139]"
1500000US170310404014,"Block Group 4, Census Tract 404.01",917,763,13,141,"[917, 763, 13, 141]"
1500000US170310404021,"Block Group 1, Census Tract 404.02",651,506,35,110,"[651, 506, 35, 110]"
1500000US170310404022,"Block Group 2, Census Tract 404.02",543,440,29,74,"[543, 440, 29, 74]"
1500000US170310404023,"Block Group 3, Census Tract 404.02",1173,834,26,313,"[1173, 834, 26, 313]"
1500000US170310404024,"Block Group 4, Census Tract 404.02",547,447,6,94,"[547, 447, 6, 94]"
1500000US170310404025,"Block Group 5, Census Tract 404.02",1228,941,32,255,"[1228, 941, 32, 255]"
1500000US170310406001,"Block Group 1, Census Tract 406",569,456,16,97,"[569, 456, 16, 97]"
1500000US170310406002,"Block Group 2, Census Tract 406",959,800,15,144,"[959, 800, 15, 144]"
1500000US170310406003,"Block Group 3, Census Tract 406",768,640,9,119,"[768, 640, 9, 119]"
1500000US170310407001,"Block Group 1, Census Tract 407",749,606,16,127,"[749, 606, 16, 127]"
1500000US170310407002,"Block Group 2, Census Tract 407",764,657,17,90,"[764, 657, 17, 90]"
1500000US170310407003,"Block Group 3, Census Tract 407",776,565,34,177,"[776, 565, 34, 177]"
1500000US170310407004,"Block Group 4, Census Tract 407",620,464,33,123,"[620, 464, 33, 123]"
1500000US170310408001,"Block Group 1, Census Tract 408",673,546,28,99,"[673, 546, 28, 99]"
1500000US170310408002,"Block Group 2, Census Tract 408",740,595,48,97,"[740, 595, 48, 97]"
1500000US170310409001,"Block Group 1, Census Tract 409",1180,1015,16,149,"[1180, 1015, 16, 149]"
1500000US170310409002,"Block Group 2, Census Tract 409",674,530,15,129,"[674, 530, 15, 129]"
1500000US170310501001,"Block Group 1, Census Tract 501",739,615,18,106,"[739, 615, 18, 106]"
1500000US170310501002,"Block Group 2, Census Tract 501",1431,1237,22,172,"[1431, 1237, 22, 172]"
1500000US170310502001,"Block Group 1, Census Tract 502",875,734,17,124,"[875, 734, 17, 124]"
1500000US170310502002,"Block Group 2, Census Tract 502",2014,1692,49,273,"[2014, 1692, 49, 273]"
1500000US170310502003,"Block Group 3, Census Tract 502",1611,1252,53,306,"[1611, 1252, 53, 306]"
1500000US170310503001,"Block Group 1, Census Tract 503",860,647,28,185,"[860, 647, 28, 185]"
1500000US170310503002,"Block Group 2, Census Tract 503",684,545,8,131,"[684, 545, 8, 131]"
1500000US170310503003,"Block Group 3, Census Tract 503",670,574,5,91,"[670, 574, 5, 91]"
1500000US170310505001,"Block Group 1, Census Tract 505",881,767,20,94,"[881, 767, 20, 94]"
1500000US170310505002,"Block Group 2, Census Tract 505",1350,1211,20,119,"[1350, 1211, 20, 119]"
1500000US170310505003,"Block Group 3, Census Tract 505",725,682,2,41,"[725, 682, 2, 41]"
1500000US170310505004,"Block Group 4, Census Tract 505",859,782,14,63,"[859, 782, 14, 63]"
1500000US170310505005,"Block Group 5, Census Tract 505",703,591,13,99,"[703, 591, 13, 99]"
1500000US170310506001,"Block Group 1, Census Tract 506",985,865,25,95,"[985, 865, 25, 95]"
1500000US170310506002,"Block Group 2, Census Tract 506",1004,884,12,108,"[1004, 884, 12, 108]"
1500000US170310507001,"Block Group 1, Census Tract 507",1353,1221,27,105,"[1353, 1221, 27, 105]"
1500000US170310508001,"Block Group 1, Census Tract 508",1219,1070,11,138,"[1219, 1070, 11, 138]"
1500000US170310509001,"Block Group 1, Census Tract 509",1314,1062,23,229,"[1314, 1062, 23, 229]"
1500000US170310510001,"Block Group 1, Census Tract 510",1441,1169,29,243,"[1441, 1169, 29, 243]"
1500000US170310511001,"Block Group 1, Census Tract 511",1491,1285,33,173,"[1491, 1285, 33, 173]"
1500000US170310512001,"Block Group 1, Census Tract 512",666,594,11,61,"[666, 594, 11, 61]"
1500000US170310512002,"Block Group 2, Census Tract 512",811,692,17,102,"[811, 692, 17, 102]"
1500000US170310513001,"Block Group 1, Census Tract 513",1150,968,11,171,"[1150, 968, 11, 171]"
1500000US170310513002,"Block Group 2, Census Tract 513",1414,1215,30,169,"[1414, 1215, 30, 169]"
1500000US170310514001,"Block Group 1, Census Tract 514",1051,860,21,170,"[1051, 860, 21, 170]"
1500000US170310514002,"Block Group 2, Census Tract 514",909,517,146,246,"[909, 517, 146, 246]"
1500000US170310601001,"Block Group 1, Census Tract 601",714,640,15,59,"[714, 640, 15, 59]"
1500000US170310601002,"Block Group 2, Census Tract 601",1072,955,11,106,"[1072, 955, 11, 106]"
1500000US170310601003,"Block Group 3, Census Tract 601",695,507,41,147,"[695, 507, 41, 147]"
1500000US170310602001,"Block Group 1, Census Tract 602",1019,832,37,150,"[1019, 832, 37, 150]"
1500000US170310602002,"Block Group 2, Census Tract 602",993,698,48,247,"[993, 698, 48, 247]"
1500000US170310603001,"Block Group 1, Census Tract 603",1419,1257,31,131,"[1419, 1257, 31, 131]"
1500000US170310603002,"Block Group 2, Census Tract 603",1258,1097,14,147,"[1258, 1097, 14, 147]"
1500000US170310604001,"Block Group 1, Census Tract 604",1384,1263,19,102,"[1384, 1263, 19, 102]"
1500000US170310604002,"Block Group 2, Census Tract 604",904,839,13,52,"[904, 839, 13, 52]"
1500000US170310604003,"Block Group 3, Census Tract 604",933,767,16,150,"[933, 767, 16, 150]"
1500000US170310605001,"Block Group 1, Census Tract 605",1159,926,80,153,"[1159, 926, 80, 153]"
1500000US170310608001,"Block Group 1, Census Tract 608",1332,1147,81,104,"[1332, 1147, 81, 104]"
1500000US170310608002,"Block Group 2, Census Tract 608",0,0,0,0,"[0, 0, 0, 0]"
1500000US170310608003,"Block Group 3, Census Tract 608",2952,2425,242,285,"[2952, 2425, 242, 285]"
1500000US170310609001,"Block Group 1, Census Tract 609",1071,909,56,106,"[1071, 909, 56, 106]"
1500000US170310609002,"Block Group 2, Census Tract 609",0,0,0,0,"[0, 0, 0, 0]"
1500000US170310609003,"Block Group 3, Census Tract 609",1260,1091,91,78,"[1260, 1091, 91, 78]"
1500000US170310609004,"Block Group 4, Census Tract 609",3177,2811,123,243,"[3177, 2811, 123, 243]"
1500000US170310609005,"Block Group 5, Census Tract 609",831,312,301,218,"[831, 312, 301, 218]"
1500000US170310610001,"Block Group 1, Census Tract 610",1579,1441,33,105,"[1579, 1441, 33, 105]"
1500000US170310611001,"Block Group 1, Census Tract 611",1327,1242,19,66,"[1327, 1242, 19, 66]"
1500000US170310612001,"Block Group 1, Census Tract 612",1813,1664,32,117,"[1813, 1664, 32, 117]"
1500000US170310615001,"Block Group 1, Census Tract 615",1635,1516,22,97,"[1635, 1516, 22, 97]"
1500000US170310618001,"Block Group 1, Census Tract 618",1022,852,76,94,"[1022, 852, 76, 94]"
1500000US170310619011,"Block Group 1, Census Tract 619.01",699,633,20,46,"[699, 633, 20, 46]"
1500000US170310619012,"Block Group 2, Census Tract 619.01",762,686,25,51,"[762, 686, 25, 51]"
1500000US170310619013,"Block Group 3, Census Tract 619.01",705,619,19,67,"[705, 619, 19, 67]"
1500000US170310619014,"Block Group 4, Census Tract 619.01",957,730,115,112,"[957, 730, 115, 112]"
1500000US170310619021,"Block Group 1, Census Tract 619.02",1046,914,51,81,"[1046, 914, 51, 81]"
1500000US170310619022,"Block Group 2, Census Tract 619.02",1508,1338,70,100,"[1508, 1338, 70, 100]"
1500000US170310619023,"Block Group 3, Census Tract 619.02",1385,1261,41,83,"[1385, 1261, 41, 83]"
1500000US170310619024,"Block Group 4, Census Tract 619.02",0,0,0,0,"[0, 0, 0, 0]"
1500000US170310620001,"Block Group 1, Census Tract 620",1649,1487,55,107,"[1649, 1487, 55, 107]"
1500000US170310620002,"Block Group 2, Census Tract 620",770,684,25,61,"[770, 684, 25, 61]"
1500000US170310621001,"Block Group 1, Census Tract 621",757,697,8,52,"[757, 697, 8, 52]"
1500000US170310621002,"Block Group 2, Census Tract 621",1045,955,32,58,"[1045, 955, 32, 58]"
1500000US170310621003,"Block Group 3, Census Tract 621",1378,1191,55,132,"[1378, 1191, 55, 132]"
1500000US170310622001,"Block Group 1, Census Tract 622",1349,1247,26,76,"[1349, 1247, 26, 76]"
1500000US170310622002,"Block Group 2, Census Tract 622",1359,1272,18,69,"[1359, 1272, 18, 69]"
1500000US170310623001,"Block Group 1, Census Tract 623",1456,1344,31,81,"[1456, 1344, 31, 81]"
1500000US170310624001,"Block Group 1, Census Tract 624",1360,1256,20,84,"[1360, 1256, 20, 84]"
1500000US170310625001,"Block Group 1, Census Tract 625",1431,1236,58,137,"[1431, 1236, 58, 137]"
1500000US170310626001,"Block Group 1, Census Tract 626",2061,1845,32,184,"[2061, 1845, 32, 184]"
1500000US170310627001,"Block Group 1, Census Tract 627",770,695,28,47,"[770, 695, 28, 47]"
1500000US170310627002,"Block Group 2, Census Tract 627",793,726,13,54,"[793, 726, 13, 54]"
1500000US170310627003,"Block Group 3, Census Tract 627",1037,897,12,128,"[1037, 897, 12, 128]"
1500000US170310628001,"Block Group 1, Census Tract 628",1022,908,24,90,"[1022, 908, 24, 90]"
1500000US170310628002,"Block Group 2, Census Tract 628",1034,970,23,41,"[1034, 970, 23, 41]"
1500000US170310628003,"Block Group 3, Census Tract 628",1310,1214,10,86,"[1310, 1214, 10, 86]"
1500000US170310629001,"Block Group 1, Census Tract 629",1240,1162,20,58,"[1240, 1162, 20, 58]"
1500000US170310629002,"Block Group 2, Census Tract 629",1091,1012,25,54,"[1091, 1012, 25, 54]"
1500000US170310629003,"Block Group 3, Census Tract 629",1473,1323,39,111,"[1473, 1323, 39, 111]"
1500000US170310630001,"Block Group 1, Census Tract 630",927,803,18,106,"[927, 803, 18, 106]"
