"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170318047162","Block Group 2, Census Tract 8047.16, Cook County, Illinois","567","95","8","12","0","12","7","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","7","12","0","12","0","12","44","35","65","53","102","49","49","52","33","31","99","45","117","57","36","35","0","12","0","12","0","12","0","12",
"1500000US170318047163","Block Group 3, Census Tract 8047.16, Cook County, Illinois","229","66","0","12","0","12","0","12","7","10","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","13","72","34","49","38","75","49","18","22","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048031","Block Group 1, Census Tract 8048.03, Cook County, Illinois","340","92","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","10","17","70","41","62","52","0","12","46","51","138","78","14","26","0","12","0","12","0","12","0","12",
"1500000US170318048032","Block Group 2, Census Tract 8048.03, Cook County, Illinois","338","94","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","19","0","12","0","12","0","12","11","17","116","59","63","37","0","12","0","12","121","62","16","25","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048033","Block Group 3, Census Tract 8048.03, Cook County, Illinois","511","125","0","12","0","12","0","12","11","19","0","12","0","12","16","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","22","30","33","34","284","119","113","71","25","22","7","13","0","12","0","12","0","12",
"1500000US170318048041","Block Group 1, Census Tract 8048.04, Cook County, Illinois","512","149","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","22","39","47","85","91","208","95","131","92","38","61","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048042","Block Group 2, Census Tract 8048.04, Cook County, Illinois","248","91","0","12","15","25","0","12","16","27","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","0","12","0","12","75","56","76","80","28","33","22","22","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048043","Block Group 3, Census Tract 8048.04, Cook County, Illinois","253","123","0","12","0","12","0","12","20","30","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","64","76","17","30","70","69","82","93","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048044","Block Group 4, Census Tract 8048.04, Cook County, Illinois","632","266","0","12","0","12","16","26","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","0","12","109","68","37","38","273","266","21","27","40","36","93","61","0","12","15","23","0","12","0","12","12","23",
"1500000US170318048051","Block Group 1, Census Tract 8048.05, Cook County, Illinois","418","167","0","12","0","12","0","12","8","13","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","10","17","74","58","38","36","33","32","83","68","42","33","48","43","67","104","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048052","Block Group 2, Census Tract 8048.05, Cook County, Illinois","205","73","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","8","15","30","32","48","42","113","75","6","14","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170318048053","Block Group 3, Census Tract 8048.05, Cook County, Illinois","370","98","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","41","46","131","77","113","91","29","34","0","12","56","47","0","12","0","12","0","12","0","12",
"1500000US170318048054","Block Group 4, Census Tract 8048.05, Cook County, Illinois","1090","218","16","28","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","9","14","45","40","84","83","148","87","104","72","528","183","142","115","14","23","0","12","0","12","0","12","0","12",
