"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than $10,000","Margin of Error!!Total!!Less than $10,000","Estimate!!Total!!$10,000 to $14,999","Margin of Error!!Total!!$10,000 to $14,999","Estimate!!Total!!$15,000 to $19,999","Margin of Error!!Total!!$15,000 to $19,999","Estimate!!Total!!$20,000 to $24,999","Margin of Error!!Total!!$20,000 to $24,999","Estimate!!Total!!$25,000 to $29,999","Margin of Error!!Total!!$25,000 to $29,999","Estimate!!Total!!$30,000 to $34,999","Margin of Error!!Total!!$30,000 to $34,999","Estimate!!Total!!$35,000 to $39,999","Margin of Error!!Total!!$35,000 to $39,999","Estimate!!Total!!$40,000 to $49,999","Margin of Error!!Total!!$40,000 to $49,999","Estimate!!Total!!$50,000 to $59,999","Margin of Error!!Total!!$50,000 to $59,999","Estimate!!Total!!$60,000 to $69,999","Margin of Error!!Total!!$60,000 to $69,999","Estimate!!Total!!$70,000 to $79,999","Margin of Error!!Total!!$70,000 to $79,999","Estimate!!Total!!$80,000 to $89,999","Margin of Error!!Total!!$80,000 to $89,999","Estimate!!Total!!$90,000 to $99,999","Margin of Error!!Total!!$90,000 to $99,999","Estimate!!Total!!$100,000 to $124,999","Margin of Error!!Total!!$100,000 to $124,999","Estimate!!Total!!$125,000 to $149,999","Margin of Error!!Total!!$125,000 to $149,999","Estimate!!Total!!$150,000 to $174,999","Margin of Error!!Total!!$150,000 to $174,999","Estimate!!Total!!$175,000 to $199,999","Margin of Error!!Total!!$175,000 to $199,999","Estimate!!Total!!$200,000 to $249,999","Margin of Error!!Total!!$200,000 to $249,999","Estimate!!Total!!$250,000 to $299,999","Margin of Error!!Total!!$250,000 to $299,999","Estimate!!Total!!$300,000 to $399,999","Margin of Error!!Total!!$300,000 to $399,999","Estimate!!Total!!$400,000 to $499,999","Margin of Error!!Total!!$400,000 to $499,999","Estimate!!Total!!$500,000 to $749,999","Margin of Error!!Total!!$500,000 to $749,999","Estimate!!Total!!$750,000 to $999,999","Margin of Error!!Total!!$750,000 to $999,999","Estimate!!Total!!$1,000,000 or more","Margin of Error!!Total!!$1,000,000 or more",
"1500000US170317104006","Block Group 6, Census Tract 7104, Cook County, Illinois","162","69","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","40","34","11","16","0","11","23","28","3","8","79","58","6","9","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170317105001","Block Group 1, Census Tract 7105, Cook County, Illinois","90","42","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","24","0","11","0","11","14","22","0","11","11","18","0","11","7","11","0","11","33","28","10","16","0","11","0","11","0","11","0","11","0","11",
"1500000US170317105002","Block Group 2, Census Tract 7105, Cook County, Illinois","47","31","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","6","10","0","11","0","11","9","13","0","11","0","11","0","11","6","9","18","20","8","12","0","11","0","11","0","11","0","11","0","11",
"1500000US170317105003","Block Group 3, Census Tract 7105, Cook County, Illinois","36","33","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","15","24","0","11","10","15","8","14","0","11","3","8","0","11","0","11","0","11","0","11","0","11",
"1500000US170317105004","Block Group 4, Census Tract 7105, Cook County, Illinois","266","73","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","5","10","37","45","71","50","16","18","60","43","29","22","39","37","9","14","0","11","0","11","0","11","0","11","0","11",
"1500000US170317106001","Block Group 1, Census Tract 7106, Cook County, Illinois","147","46","0","11","0","11","0","11","0","11","0","11","0","11","21","22","8","12","5","8","11","19","18","24","0","11","2","4","0","11","15","20","28","24","16","24","4","7","19","20","0","11","0","11","0","11","0","11","0","11",
"1500000US170317106002","Block Group 2, Census Tract 7106, Cook County, Illinois","51","31","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","7","12","0","11","8","14","0","11","15","16","6","10","5","8","0","11","10","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170317107001","Block Group 1, Census Tract 7107, Cook County, Illinois","51","35","0","11","0","11","0","11","9","19","0","11","0","11","0","11","0","11","5","10","0","11","0","11","10","17","12","24","6","12","0","11","3","12","0","11","6","10","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170317107002","Block Group 2, Census Tract 7107, Cook County, Illinois","87","56","6","11","0","11","0","11","0","11","0","11","0","11","29","48","0","11","0","11","0","11","6","10","0","11","0","11","0","11","0","11","12","16","17","26","0","11","0","11","17","20","0","11","0","11","0","11","0","11",
"1500000US170317107003","Block Group 3, Census Tract 7107, Cook County, Illinois","109","59","18","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","19","30","28","30","18","28","0","11","5","8","0","11","0","11","21","28","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170317107004","Block Group 4, Census Tract 7107, Cook County, Illinois","140","47","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","4","8","8","12","0","11","0","11","48","30","6","11","55","37","0","11","5","9","0","11","0","11","0","11","0","11","14","23","0","11",
